页数,文章链接,文章标题,时间,来源,作者,浏览量
22,https://www.jhc.cn/2022/0601/c4548a144330/page.htm,金职院党委开展第26期夜学,2022-06-01,宣传部（文化育人办公室）,于辰辰,613
22,https://www.jhc.cn/2022/0531/c4548a144327/page.htm,金职院召开纪检干部培训会,2022-05-31,校纪委,徐文杰  摄影 郑胜杰,459
22,https://www.jhc.cn/2022/0531/c4548a144301/page.htm,金职院党委召开专题（扩大）会议传达学习全省职业教育大会精神以及金华市委市政府支持学校高质量发展的意见,2022-05-31,校办,吴嘉丽,600
22,https://www.jhc.cn/2022/0528/c4548a144239/page.htm,传递“金”名片  搭好“鹊”桥路——金职院开展书记校长访企拓岗促就业专项行动,2022-05-28,就业指导处  创业学院,李浩波  孟东方,1036
22,https://mp.weixin.qq.com/s/No_YCZdiwqJRUnISAFjJtA,高质量打造“五融五共”校企地党建共同体 助力共同富裕先行示范——金华职业技术学院党委与中共武义县委举行党建共同体成立仪式,2022-05-27,,,
22,https://www.jhc.cn/2022/0527/c4548a144232/page.htm,重温真理味道 感悟红色伟力——金职院开展信仰之源大寻访活动,2022-05-27,组织部 统战部,章静 摄影 王天 孙立臣,459
22,https://www.jhc.cn/2022/0527/c4548a144228/page.htm,金职院与巴西阿克里州政府举行项目合作洽谈视频会议,2022-05-27,陈宏金 金晓,农学院  国合处,423
22,https://www.jhc.cn/2022/0520/c4548a144021/page.htm,金职院召开2022年度校友工作研讨会,2022-05-20,校友会,陈蝶丽,903
22,https://www.jhc.cn/2022/0519/c4548a143973/page.htm,金职院成立创新创业虚拟联合教研室,2022-05-19,就业指导处,吴芳珍,1523
22,https://www.jhc.cn/2022/0518/c4548a143956/page.htm,金职院召开“双强型”青年专业人才实践锻炼动员会,2022-05-18,组织部,姜伟仁,993
22,https://www.jhc.cn/2022/0518/c4548a143955/page.htm,百日冲刺再推进   勠力同心促就业——金职院召开2022届毕业生就业创业工作推进会,2022-05-18,就业指导处  创业学院,李浩波  孟东方,707
23,https://mp.weixin.qq.com/s/CR_taPSd2n0wjPAHdVgXyA,"""强国有我 青春力量”大型理论宣讲走进金职院",2022-05-17,,,
23,https://www.jhc.cn/2022/0517/c4548a143882/page.htm,金职院召开校党委第五轮巡察工作动员部署会,2022-05-17,巡察办,谢华 摄影 王天,740
23,https://www.jhc.cn/2022/0515/c4548a143806/page.htm, 金职院第八届就业创业文化节暨职业生涯规划活动月启动,2022-05-15,就业处,吴芳珍 吕继艳,629
23,https://www.jhc.cn/2022/0514/c4548a143787/page.htm,首期走进“双高计划”建设校高级研修班圆满落幕,2022-05-14,继教处,陈泓伊,1072
23,https://www.jhc.cn/2022/0514/c4548a143772/page.htm,金职院党委理论学习中心组举行“现代职业教育高质量发展院校研究与实践”专题学习会,2022-05-14,宣传部*（文化育人办公室）,于辰辰  摄影 郑胜杰,584
23,https://www.jhc.cn/2022/0513/c4548a143764/page.htm, 中非职业教育联合会正式成立，金职院作为发起单位入会,2022-05-13,国合处,李宇圣,440
23,https://www.jhc.cn/2022/0512/c4548a143717/page.htm,金职院党委召开专题（扩大）会议传达学习《浙江省内部审计规定》,2022-05-12,宣传部（文化育人办公室）,于辰辰  摄影 王天,608
23,https://mp.weixin.qq.com/s/c8mz7uxeBN2IbaKA-zkF9A,金职院入选浙江省第一批绿色学校（高等学校）名单,2022-05-11,,,
23,https://www.jhc.cn/2022/0511/c4548a143646/page.htm,金职院在全省国际“互联网+”大学生创新创业大赛职教赛道动员部署视频会议上作交流发言,2022-05-11,就业指导处 创业学院,杨燕君 凌杰,591
23,https://mp.weixin.qq.com/s/TPJKw0u3IA5j-jUWwK2aUQ,金职院师生热议习近平总书记在庆祝中国共产主义青年团成立100周年大会上的重要讲话,2022-05-10,,,
23,https://www.jhc.cn/2022/0510/c4548a143608/page.htm,深化丝路电商发展  推广非洲好物好地——金华职业技术学院主动参与“SAWA~AFRICA非洲好物网购节”活动,2022-05-10,国合处,李宇圣,624
23,https://mp.weixin.qq.com/s/Ddgr_Rg3SZuon8uHrtGpUQ,创佳绩！金职院辅导员在全省高校辅导员素质能力大赛中获得一、三等奖,2022-05-09,,,
23,https://mp.weixin.qq.com/s/CLkQF-SifFY1b7TFIBRVyg,金职院党委开展第25期夜学,2022-05-05,,,
23,https://mp.weixin.qq.com/s/ygsRXgCa_QPoUKOGbFXTbg,金职院举行2022年纪念五四运动升旗仪式,2022-05-04,,,
24,https://mp.weixin.qq.com/s/Ei6ibIyk8i9aJyGd9lQyIw,习近平总书记在中国人民大学考察时的重要讲话引发金职院师生热烈反响,2022-05-01,,,
24,https://www.jhc.cn/2022/0430/c4548a143195/page.htm,浙江省现代职业教育研究中心召开2022年度学术委员会会议,2022-04-30,职教院 ,徐珍珍  摄影  王天,706
24,https://www.jhc.cn/2022/0430/c4548a143186/page.htm,市领导走访慰问金职院“全国五一劳动奖章”获得者章跃洪,2022-04-30,机电工程学院,娄珺  摄影 郑胜杰,3113
24,https://www.jhc.cn/2022/0429/c4548a143180/page.htm,金职院党委理论学习中心组举行《中华人民共和国职业教育法》专题（扩大）学习会,2022-04-29,宣传部（文化育人办公室）,周飞腾   摄影  王天,769
24,https://mp.weixin.qq.com/s/wjun4aWG7Z-jYoJzP1U9Og,有学头、有盼头、有奔头——金职师生热议新《职业教育法》,2022-04-29,,,
24,https://mp.weixin.qq.com/s/3Y2PU8soML8r6aOrCfwlCw,金职院2021年度高层次职教研究论文发表数位居全国高职院校第一,2022-04-28,,,
24,https://www.jhc.cn/2022/0428/c4548a143145/page.htm,金职院再添一个浙江省青年文明号,2022-04-28,校团委 商学院,何碧峰 胡宇翔,559
24,https://www.jhc.cn/2022/0428/c4548a143133/page.htm,金职院在浙江省青年志愿服务项目大赛中取得新突破,2022-04-28,校团委,陈佳俊 胡宇翔,512
24,https://www.jhc.cn/2022/0427/c4548a143110/page.htm,金职院党委召开专题会议传达学习习近平总书记考察中国人民大学重要讲话精神,2022-04-27,宣传部（文化育人办公室）,于辰辰,555
24,https://www.jhc.cn/2022/0428/c4548a143116/page.htm,学校组织参加教育部职成司《职业学校学生实习管理规定》专题培训会,2022-04-27,教务处,余经纬,325
24,https://www.jhc.cn/2022/0422/c4548a143008/page.htm,金职院党委理论学习中心组举行“党内法规制度建设、中国人权发展道路和《信访工作条例》 ”专题学习会,2022-04-22,宣传部（文化育人办公室）,于辰辰  摄影 郑胜杰,971
24,https://www.jhc.cn/2022/0422/c4548a142990/page.htm,金职院在教育部“一站式”学生社区综合管理模式建设试点工作经验分享会上作交流发言,2022-04-21,学生处,丰辉 陈颖燕,1020
24,https://mp.weixin.qq.com/s/CUw9AZOje9cIPB50yR5JQw,勇当先锋   彰显担当——金职院百名教职工下沉社区一线助力疫情防控,2022-04-20,,,
24,https://mp.weixin.qq.com/s/8p4RWnNhnv4sB7gEdZ2tag,金职院上下全力做好防疫工作，多措并举筑牢抗疫防线,2022-04-20,,,
25,https://mp.weixin.qq.com/s/6z9-Uy5yQooM9qV6abwbkg,我校教师章跃洪获“全国五一劳动奖章 ”,2022-04-19,,,
25,https://mp.weixin.qq.com/s/e8wDFGjsjAcNazkpZLfl_w,金职院师生齐心携手共抗疫，与金同在显担当,2022-04-18,,,
25,https://www.jhc.cn/2022/0417/c4548a142837/page.htm,党委书记王振洪应邀参加职业教育高质量发展暨《人大复印报刊资料·职业技术教育》编委会工作会议,2022-04-17,职教院,金亮,713
25,https://www.jhc.cn/2022/0415/c4548a142806/page.htm,金职院召开2022年校园安全稳定工作会议,2022-04-15,保卫处,林报春  摄影 王天,1028
25,https://www.jhc.cn/2022/0413/c4548a142693/page.htm,金职院党委召开专题会议传达学习全省教育系统工作会议精神以及金华市两会精神,2022-04-13,办公室,王升  摄影  王天,1048
25,https://www.jhc.cn/2022/0413/c4548a142692/page.htm,金职院举行杭州2022年亚运会志愿者动员大会暨通用培训开班仪式,2022-04-13,校团委,胡宇翔,636
25,https://www.jhc.cn/2022/0412/c4548a142645/page.htm,金职院召开2022年全面从严治党工作会议暨警示教育大会,2022-04-12,宣传部（文化育人办公室）,王璐  摄影  王天,1098
25,https://www.jhc.cn/2022/0411/c4548a142584/page.htm,全省高校唯一！金职院学前教育团队入选人力资源和社会保障部专家服务基层示范团,2022-04-11,人事处   师范学院  ,陈庭来 胡云莺  梅晓辉   ,1119
25,https://www.jhc.cn/2022/0411/c4548a142592/page.htm,开门红！医学生蝉联省大学生医学技术技能大赛金奖,2022-04-11,医学院,周向锋 周飞腾 潘惠英,529
25,https://www.jhc.cn/2022/0407/c4548a142511/page.htm,金职院科技助农典型案例获评全国优秀案例,2022-04-07,校办（合作与发展办）  农学院,徐茹倩,1278
25,https://www.jhc.cn/2022/0407/c4548a142514/page.htm,喜迎二十大   奋进新征程——金职院第三届思政微课大赛圆满落幕,2022-04-07,校团委   制药学院 ,王惠程 赵倩,1399
25,https://mp.weixin.qq.com/s/OOA-STwK2fAywiHf7mXIkQ,金职院党委开展第24期夜学,2022-04-06,,,
25,https://www.jhc.cn/2022/0404/c4548a142416/page.htm,假期疫情防控不松弦——金职院党委书记率队走访调研校园疫情防控常态化工作,2022-04-04,宣传部（文化育人办公室）,周飞腾 摄影  郑胜杰,1021
25,https://www.jhc.cn/2022/0403/c4548a142411/page.htm,团市委书记王一来校调研指导亚运会志愿服务工作,2022-04-03,校团委,胡宇翔,1517
26,https://www.jhc.cn/2022/0402/c4548a142402/page.htm,跨越中卢万里山海  师生隔屏热情学习——金职院“未来非洲—中非职教合作计划”项目首批学生正式开课,2022-04-02,国合处 ,李宇圣,1507
26,https://mp.weixin.qq.com/s/NpxABNQLkTE6wzfWmPOObw,金职院隆重召开校七届三次教职工暨二次工会会员代表大会,2022-03-31,,,
26,https://www.jhc.cn/2022/0329/c4548a142272/page.htm,金职院召开2022年上半年统战工作会议,2022-03-29,组织部,章静,1095
26,https://www.jhc.cn/2022/0329/c4548a142271/page.htm,奋力抓好后继有人这个根本大计——金职院党委专题研究干部工作,2022-03-29,组织部,周孝强,884
26,https://www.jhc.cn/2022/0329/c4548a142240/page.htm,金职院举办“养老育幼”国家级职业教育教师教学创新团队研究项目开题报告会,2022-03-28,医学院 ,董丽华,833
26,https://www.jhc.cn/2022/0327/c4548a142195/page.htm,金职院举行2022年教师教学能力比赛首轮比赛和云端研讨,2022-03-27,教务处,朱友银,931
26,https://www.jhc.cn/2022/0325/c4548a142188/page.htm,聚焦新时代教师教育创新发展与变革——省教育学会小学与学前教师教育分会年会在金职院召开,2022-03-25,师范学院,高敏 胡云莺   摄影   王天,643
26,https://www.jhc.cn/2022/0327/c4548a142193/page.htm,省教育厅专家组调研金职院师范生培养工作,2022-03-25,师范学院,余俊帅 胡云莺,657
26,https://www.jhc.cn/2022/0325/c4548a142179/page.htm,金职院产教融合案例成功入选两个“国字号”榜单,2022-03-25,机电工程学院,娄珺,1228
26,https://www.jhc.cn/2022/0321/c4548a142053/page.htm,金职院机械党支部成功入选“全国党建工作样板支部”,2022-03-21,机电工程学院,黄鹏程  章妙,942
26,https://www.jhc.cn/2022/0318/c4548a142013/page.htm,金职院举行“职教本科专业申报”主题教研活动,2022-03-18,教务处   机电工程学院,王妍 王科荣  摄影   王天,1715
26,https://www.jhc.cn/2022/0317/c4548a141947/page.htm,金职院召开2021年招生总结暨2022年招生宣传动员会,2022-03-17,招生办,唐芳,971
26,https://www.jhc.cn/2022/0315/c4548a141876/page.htm,金职院出台首个海外引才政策,2022-03-15,人事处,陈江赟,1107
26,https://mp.weixin.qq.com/s/3KBP-HBiH8dkrKH4KQvLCQ,从严从紧压实责任    落实落细防控举措——校领导带队深入一线督察防疫工作   ,2022-03-14,,,
27,https://www.jhc.cn/2022/0313/c4548a141807/page.htm,金职院召开党委（扩大）会议：深入学习贯彻全国两会精神   重点研究部署校园疫情防控工作,2022-03-13,办公室,周鹏帅,1014
27,https://www.jhc.cn/2022/0312/c4548a141801/page.htm,金职院召开疫情防控专项会议强化落实近期校园疫情防控工作,2022-03-12,办公室,周鹏帅,681
27,https://mp.weixin.qq.com/s/lZezdutbNCT3fq4ST_Uhhw,全国第44个植树节：吾家金职，再添一点绿,2022-03-11,,,
27,https://www.jhc.cn/2022/0311/c4548a141760/page.htm,省教育厅职成教处处长陈达赴金职院调研指导,2022-03-11,宣传部（文化育人办公室）,周飞腾  摄影 王天,1121
27,https://www.jhc.cn/2022/0311/c4548a141741/page.htm,省委办公厅调研组调研金职院校企共建高端产教融合平台建设运行情况,2022-03-11,机电工程学院 ,娄珺  摄影 王天,662
27,https://www.jhc.cn/2022/0314/c4548a141820/page.htm,就创工作启新程    策马扬鞭勇奋进——金职院2022年就创工作研讨会顺利召开,2022-03-11,就业指导处    创业学院,孟东方,1072
27,https://mp.weixin.qq.com/s/gRs8yK2Lu1Z3hTP7EXjKDw,金职院举行首届“双华”奖学金捐赠暨颁奖仪式,2022-03-11,,,
27,https://www.jhc.cn/2022/0305/c4548a141539/page.htm,中国高等教育学会副会长张大良一行来金职院考察指导,2022-03-05,宣传部（文化育人办公室）,王璐 摄影 孙立臣,1406
27,https://www.jhc.cn/2022/0304/c4548a141492/page.htm,金职院党委开展第23期夜学,2022-03-04,宣传部（文化育人办公室）,于辰辰 摄影 孙立臣,838
27,https://www.jhc.cn/2022/0304/c4548a141480/page.htm,金职院召开党委（扩大）会专题传达学习市第八次党代会精神,2022-03-03,宣传部（文化育人办公室）,于辰辰  摄影 孙立臣,709
27,https://www.jhc.cn/2022/0303/c4548a141475/page.htm,金职院举行2022年“学雷锋 献热血”学雷锋月启动仪式,2022-03-03,旅游学院,张璟琨 邢丛科,407
27,https://www.jhc.cn/2022/0303/c4548a141471/page.htm,提质量   促内涵   夯实本科专业办学——金职院举行与嘉兴学院合作本科办学教学质量提升研讨会,2022-03-03,师范学院,陈紫蔚   ,636
27,https://www.jhc.cn/2022/0302/c4548a141439/page.htm,弘扬生态文明    创建绿色学校——金职院接受省绿色学校创建评价验收,2022-03-02,后勤中心,赵迪茜  摄影   孙立臣  郑胜杰,763
27,https://www.jhc.cn/2022/0302/c4548a141437/page.htm,金职院召开2022年体育工作会议,2022-03-02,公共基础学院,周盛 童国权  摄影 王天,552
28,https://www.jhc.cn/2022/0228/c4548a141360/page.htm,中共金华职业技术学院委员会关于省委授权巡视组反馈意见整改进展情况的通报,2022-02-28,金华职业技术学院,,1289
28,https://www.jhc.cn/2022/0228/c4548a141359/page.htm,金职院组织参加全国高等学校实验室安全工作视频会议,2022-02-28,教务处,余经纬,630
28,https://mp.weixin.qq.com/s/zKzlbqaGs-Ja9wxTQq06Vg,金职院举行“金职菁英学堂”首期年轻干部培训班结业仪式,2022-02-24,,,
28,https://www.jhc.cn/2022/0224/c4548a141288/page.htm,金职院召开新学期教学工作会议,2022-02-24,教务处,王妍,1051
28,https://www.jhc.cn/2022/0222/c4548a141256/page.htm,“一对一”精准对接  “点对点”把脉问诊——校领导走访解难题  服务暖师生,2022-02-22,宣传部（文化育人办公室）,周飞腾 王璐  摄影  郑胜杰  王天  孙立臣,1142
28,https://mp.weixin.qq.com/s/5jwwuBIqhxALaaenFOmgmg,金职院在全国普通高校大学生竞赛排行榜（2017～2021）中位列第一,2022-02-22,,,
28,https://www.jhc.cn/2022/0220/c4548a141182/page.htm,浙江大学信电学院院长陈红胜一行来金职院考察交流,2022-02-20,信息工程学院,周荃,1049
28,https://mp.weixin.qq.com/s/HX0tqarKcj6RSrp7O80ImQ,以担当作为践行新时代金职精神——金职院召开2022年教职工大会,2022-02-18,,,
28,https://www.jhc.cn/2022/0218/c4548a141170/page.htm,“大满贯”！金职院入选《2021中国职业教育质量年度报告》四大榜单,2022-02-18,宣传部（文化育人办公室）,王璐,982
28,https://www.jhc.cn/2022/0218/c4548a141169/page.htm,全省高职唯一！金职院获批2022年高校思想政治工作精品项目,2022-02-18,宣传部（文化育人办公室）,李琳,525
28,https://www.jhc.cn/2022/0217/c4548a141105/page.htm,职业教育助力共同富裕系列报道：金职院深入磐安县方前镇寺岙村对接帮扶工作,2022-02-17,商学院,金川涵   摄影 孙立臣,1058
28,https://www.jhc.cn/2022/0217/c4548a141104/page.htm,职业教育助力共同富裕系列报道：金职院走访调研磐安职业教育中心,2022-02-17,商学院,金川涵   摄影 孙立臣,687
28,https://www.jhc.cn/2022/0215/c4548a141063/page.htm,职业教育助力共同富裕系列报道：金职院走访调研金华九峰职业学校,2022-02-15,学生处,章国栋   摄影 孙立臣,871
28,https://www.jhc.cn/2022/0214/c4548a141056/page.htm,职业教育助力共同富裕系列报道：金职院走访调研沙畈乡青草村,2022-02-14,组织部  ,陈德仙  摄影 孙立臣,677
29,https://www.jhc.cn/2022/0213/c4548a141053/page.htm,金职院机械制造与自动化专业教师团队入选第二批全国高校黄大年式教师团队,2022-02-13,人事处,梅晓辉,701
29,https://www.jhc.cn/2022/0212/c4548a141052/page.htm,职业教育助力共同富裕系列报道：金职院走访调研武义县职业技术学校,2022-02-12,校办,徐茹倩   摄影   孙立臣,863
29,https://www.jhc.cn/2022/0210/c4548a141050/page.htm,金职院党委召开专题会议 研究部署2022年全面从严治党工作,2022-02-10,党委宣传部（文化育人办公室）,于辰辰  摄影孙立臣,820
29,https://mp.weixin.qq.com/s/yQXOVoI7L30SXNnpydt_9Q,金职院7项教学成果全部获2021年浙江省教学成果奖,2022-02-09,,,
29,https://mp.weixin.qq.com/s/0fY5UrUrYxQOvzQuWqC9_w,党委书记王振洪走访慰问春节在岗教职工与留金过年学生,2022-02-01,,,
29,https://www.jhc.cn/2022/0129/c4548a141038/page.htm,百年积蕴  创新融合——中国教育电视台专题聚焦金华职业技术学院,2022-01-29,金华职业技术学院,,642
29,https://www.jhc.cn/2022/0129/c4548a141025/page.htm,学习“充充电”  假期“不打烊”——金职院开展教师教学能力提升专题交流活动,2022-01-29,教务处 ,朱友银,547
29,https://www.jhc.cn/2022/0128/c4548a141024/page.htm,跨越中卢万里隔屏操作     鼠标代替双手真实体验——金职院远程实境实验平台首次助力对非师资培训,2022-01-28,国合处   信息工程学院,李宇圣   陈群挺,386
29,https://www.jhc.cn/2022/0127/c4548a141016/page.htm,祝福声声暖  关怀浓浓情——校领导班子走访慰问离退休老同志,2022-01-27,组织部  医学院,周巍 周新阳  摄影  郑胜杰 王天,539
29,https://www.jhc.cn/2022/0123/c4548a140982/page.htm,金职院党委传达学习省“两会”精神和省市党史学习教育总结会精神,2022-01-23,宣传部,于辰辰  摄影  孙立臣,523
29,https://mp.weixin.qq.com/s/44xob9X4fBDc1sGMOl7L_Q,留金过年！金职院外籍师生乐享“中国年”,2022-01-23,,,
29,https://www.jhc.cn/2022/0121/c4548a140962/page.htm,金职院党委传达学习习近平总书记在十九届中央纪委六次全会上的重要讲话精神,2022-01-21,宣传部,摄影   孙立臣,363
29,https://www.jhc.cn/2022/0119/c4548a140847/page.htm,畅叙鱼水深情  共谋融合发展——校领导走访慰问金华军分区,2022-01-19,学生处,金飞龙 朱圣杰  摄影  王天,633
29,https://www.jhc.cn/2022/0118/c4548a140831/page.htm,非洲职业院校管理人员和骨干教师培训在金职院正式开班,2022-01-18,国合处,李宇圣,515
30,https://www.jhc.cn/2022/0117/c4548a140818/page.htm,金职院召开2022年“互联网+”创新创业大赛动员会议,2022-01-17,就业指导处  创业学院,杨燕君 凌杰  摄影  王天,452
30,https://www.jhc.cn/2022/0115/c4548a140805/page.htm,明思路  谋出路  探新路——金职院召开重点改革与建设项目工作专班2021年总结分析会,2022-01-15,校办,陆海峰   摄影  王天,543
30,https://mp.weixin.qq.com/s/DpJkTuMbOIKNmUm4eEUjKg,金职院召开职业教育高质量发展党委专题学习会暨“双高”建设中期汇报会  ,2022-01-14,,,
30,https://www.jhc.cn/2022/0114/c4548a140779/page.htm,金职院党委领导班子召开党史学习教育专题民主生活会,2022-01-14,宣传部 校办,于辰辰 王升  摄影 孙立臣,398
30,https://www.jhc.cn/2022/0115/c4548a140789/page.htm,第三届宠物营养国际学术云端盛会在金职院圆满落幕,2022-01-14,农学院,朱欢  许佳,209
30,https://www.jhc.cn/2022/0114/c4548a140778/page.htm,金职院党委召开第四轮巡察反馈会议,2022-01-14,巡察办,谢华,259
30,https://www.jhc.cn/2022/0113/c4548a140753/page.htm,金职院连续三年蝉联浙江省高职高专院校国际化总体水平第一,2022-01-13,国合处,王艳 金晓,365
30,https://www.jhc.cn/2022/0111/c4548a140732/page.htm,“养老育幼”国家级职业教育教师教学创新团队协作共同体成立大会在金职院召开,2022-01-12,医学院,董丽华,387
30,https://mp.weixin.qq.com/s/JUkmuQkgn_OydvdD8yZMlQ,金职院召开第五届教学能力比赛启动会,2022-01-11,,,
30,https://mp.weixin.qq.com/s/CLwOwOJLL4GfFR7GCIU8EQ,金职院党委开展第22期夜学,2022-01-10,,,
30,https://www.jhc.cn/2022/0110/c4548a140616/page.htm,立足规范 彰显品牌 力推学校高质量发展   ——金职院召开2021年继续教育工作分析会,2022-01-09,继续教育处,陈泓伊,430
30,https://mp.weixin.qq.com/s/GxwxjXPFG5MBYbZTCPwI3w,这“疫”关，我们都是答卷人！,2022-01-07,,,
30,https://www.jhc.cn/2022/0107/c4548a140607/page.htm, “疫”不容辞  让党旗飘扬在疫情防控一线,2022-01-07,组织部,周孝强,430
30,https://www.jhc.cn/2022/0106/c4548a140597/page.htm,金职院连夜开展全员核酸检测,2022-01-06,金华职业技术学院,,4487
31,https://www.jhc.cn/2022/0105/c4548a140594/page.htm,校长梁克东到医学院宣讲党的十九届六中全会精神,2022-01-05,医学院  ,周飞腾,347
31,https://www.jhc.cn/2022/0105/c4548a140582/page.htm,全国电子商务职业教育教学指导委员会常务副主任陆春阳一行来学校考察指导,2022-01-05,商学院（金义网络经济学院）,施学良,729
31,https://www.jhc.cn/2021/1231/c4548a140400/page.htm,金职院党委召开校园安全专项整顿工作专题会议,2021-12-31,校办,郑湛淼,912
31,https://www.jhc.cn/2021/1231/c4548a140398/page.htm,金职院党委召开2021年第四季度全面从严治党专题会议,2021-12-31,校办,王升,465
31,https://www.jhc.cn/2021/1231/c4548a140340/page.htm,金职院召开2021年度专业建设重点突破与特色创新项目交流会,2021-12-31,教务处,朱友银 辛奇,627
31,https://www.jhc.cn/2021/1230/c4548a140304/page.htm,金职院图书馆获批成为中国图书馆学会高职院校图书馆分会主任单位,2021-12-30,图档中心  ,金乐,498
31,https://www.jhc.cn/2021/1229/c4548a140292/page.htm,“述”出使命 “评”出担当  ——金职院召开2021年度二级党委（直属支部）书记抓党建思政工作述职评议会,2021-12-29,组织部,陈静泓,910
31,https://www.jhc.cn/2021/1229/c4548a140289/page.htm,坚持思想引领  强化主责主业  ——金职院举行2021年二级学院团委负责人述职会,2021-12-29,校团委,胡宇翔 赵倩,776
31,https://mp.weixin.qq.com/s/MaM6brkhOawYRk5y0YSV4A,金职院入选第二批全省党建工作示范高校等4个党建“双创”培育创建单位,2021-12-28,,,
31,https://www.jhc.cn/2021/1228/c4548a140245/page.htm,金职院党委书记王振洪应邀在全国职业教育高质量发展研讨会上作专题报告,2021-12-28,教务处、双高办,张猛,940
31,https://www.jhc.cn/2021/1227/c4548a140176/page.htm,副校长成军受邀在“2021中国-印度职业教育合作研讨会”上作专题发言,2021-12-27,教务处,朱友银,579
31,https://www.jhc.cn/2021/1224/c4548a140163/page.htm,金职院位列全国高职院校教师教学发展指数榜单第三,2021-12-24,教师发展中心,李泓冰,653
31,https://www.jhc.cn/2021/1223/c4548a140135/page.htm,全国商务数据开发与应用职业教育集团2021年会在金职院召开,2021-12-23,商学院, 楼小明,1024
31,https://www.jhc.cn/2021/1222/c4548a140098/page.htm,金职院入选教育部“一站式”学生社区综合管理模式建设自主试点单位,2021-12-22,学生处, 陈颖燕,1032
32,https://www.jhc.cn/2021/1220/c4548a140055/page.htm,金职院召开新提任科职干部任前集体谈话暨廉政谈话会,2021-12-20,金华职业技术学院,姜伟仁,1378
32,https://www.jhc.cn/2021/1217/c4548a140007/page.htm,金职院入选教育部-联合国儿基金会“核心能力提升”青少年教育合作项目试点院校,2021-12-17,教务处,盛胜航,683
32,https://www.jhc.cn/2021/1217/c4548a139995/page.htm,金职院当选为中非（南）职业教育联盟副理事长单位,2021-12-17,国际合作交流处, 李宇圣,542
32,https://www.jhc.cn/2021/1216/c4548a139981/page.htm,金职院两个众创空间成功入选2021年度省级众创空间,2021-12-16,就业指导处、创业学院,潘方斌、费锋、张俊福,595
32,https://mp.weixin.qq.com/s/pRXBiM1agDuKNnIXX3czGA,金职院组织开展综合性校园临时封闭管理应急演练,2021-12-15,,,
32,https://www.jhc.cn/2021/1215/c4548a139893/page.htm,金职院10名专家入选新一届全国行（教）指委委员,2021-12-15,教务处　,张猛,1010
32,https://www.jhc.cn/2021/1210/c4548a139801/page.htm,金职院获批教育部首批瑞士乔治费歇尔智能制造创新实践基地培育建设单位,2021-12-10,机电工程学院, 娄珺,1135
32,https://www.jhc.cn/2021/1210/c4548a139784/page.htm,金职院申报9个省级产教融合项目全部获得立项,2021-12-10,教务处（校企合作处）,蒋妙琦,1077
32,https://mp.weixin.qq.com/s/vQwJin6O90ZGZSSC9hlCKg,金职院开展校园安全专项整顿督查工作,2021-12-10,,,
32,https://mp.weixin.qq.com/s/hvsLNgjgDBBjLwwLLBceiQ,金职院召开疫情防控工作研究部署会议,2021-12-08,,,
32,https://www.jhc.cn/2021/1206/c4548a139636/page.htm,金职院海外分校办学案例入选《““一带一路””教育国际交流优秀案例选集》,2021-12-06,国际合作交流处 ,  金晓  李宇圣,603
32,https://www.jhc.cn/2021/1206/c4548a139635/page.htm,金职院党委专题研究党建工作,2021-12-06,组织部 ,陈静泓,1105
32,https://www.jhc.cn/2021/1204/c4548a139591/page.htm,金职院2022届毕业生“三结合”视频双选会成功举办,2021-12-04,就业指导处 创业学院 ,孟东方,681
32,https://www.jhc.cn/2021/1204/c4548a139590/page.htm,科技引领 创新驱动——金职院-浙大金华研究院签署倡议合作协议,2021-12-04,信息工程学院,周荃,881
