商品名称,种类,鲜(干)货,市场名称,价格,采集时间
松茸,野生菌,干货,南华市场,1800.00,2018-05-03
虎掌菌,野生菌,干货,南华市场,1080.00,2018-04-25
黑牛肝菌,野生菌,干货,南华市场,450.00,2018-04-25
羊肚菌,野生菌,干货,南华市场,2200.00,2018-04-25
松露,野生菌,干货,南华市场,1600.00,2018-04-25
大红菇,野生菌,干货,南华市场,1200.00,2018-04-25
鸡油菌,野生菌,干货,南华市场,380.00,2018-04-25
鸡枞,野生菌,干货,南华市场,450.00,2018-04-25
松茸,野生菌,干货,南华市场,1800.00,2018-04-25
虎掌菌,野生菌,干货,南华市场,1080.00,2018-04-16
羊肚菌,野生菌,干货,南华市场,2200.00,2018-04-16
松露,野生菌,干货,南华市场,1600.00,2018-04-16
木耳,野生菌,干货,南华市场,400.00,2018-04-16
大红菇,野生菌,干货,南华市场,1200.00,2018-04-16
鸡油菌,野生菌,干货,南华市场,380.00,2018-04-16
鸡枞,野生菌,干货,南华市场,450.00,2018-04-16
松茸,野生菌,干货,南华市场,1800.00,2018-04-16
木耳,野生菌,干货,南华市场,400.00,2018-04-08
虎掌菌,野生菌,干货,南华市场,1050.00,2018-04-08
羊肚菌,野生菌,干货,南华市场,2200.00,2018-04-08
松露,野生菌,干货,南华市场,1600.00,2018-04-08
大红菇,野生菌,干货,南华市场,1200.00,2018-04-08
鸡油菌,野生菌,干货,南华市场,380.00,2018-04-08
鸡枞,野生菌,干货,南华市场,450.00,2018-04-08
松茸,野生菌,干货,南华市场,1800.00,2018-04-08
羊肚菌,野生菌,鲜货,南华市场,480.00,2018-03-30
木耳,野生菌,干货,南华市场,400.00,2018-03-30
大红菇,野生菌,干货,南华市场,1200.00,2018-03-30
鸡枞,野生菌,干货,南华市场,450.00,2018-03-30
鸡油菌,野生菌,干货,南华市场,380.00,2018-03-30
羊肚菌,野生菌,干货,南华市场,2200.00,2018-03-30
虎掌菌,野生菌,干货,南华市场,1050.00,2018-03-30
松茸,野生菌,干货,南华市场,1800.00,2018-03-30
羊肚菌,野生菌,鲜货,南华市场,500.00,2018-03-19
木耳,野生菌,干货,南华市场,400.00,2018-03-19
大红菇,野生菌,干货,南华市场,1200.00,2018-03-19
松茸,野生菌,干货,南华市场,1800.00,2018-03-19
鸡油菌,野生菌,干货,南华市场,380.00,2018-03-19
羊肚菌,野生菌,干货,南华市场,2200.00,2018-03-19
虎掌菌,野生菌,干货,南华市场,1050.00,2018-03-19
鸡枞,野生菌,干货,南华市场,450.00,2018-03-19
羊肚菌,野生菌,鲜货,南华市场,420.00,2018-03-10
松茸,野生菌,干货,南华市场,1800.00,2018-03-10
大红菇,野生菌,干货,南华市场,1200.00,2018-03-10
木耳,野生菌,干货,南华市场,380.00,2018-03-10
鸡油菌,野生菌,干货,南华市场,380.00,2018-03-10
虎掌菌,野生菌,干货,南华市场,1000.00,2018-03-10
羊肚菌,野生菌,干货,南华市场,2200.00,2018-03-10
鸡枞,野生菌,干货,南华市场,400.00,2018-03-10
松露,野生菌,鲜货,南华市场,680.00,2018-03-01
松茸,野生菌,干货,南华市场,1800.00,2018-03-01
大红菇,野生菌,干货,南华市场,1200.00,2018-03-01
木耳,野生菌,干货,南华市场,380.00,2018-03-01
鸡油菌,野生菌,干货,南华市场,380.00,2018-03-01
虎掌菌,野生菌,干货,南华市场,1000.00,2018-03-01
鸡枞,野生菌,干货,南华市场,400.00,2018-03-01
羊肚菌,野生菌,干货,南华市场,2200.00,2018-03-01
松露,野生菌,鲜货,南华市场,680.00,2018-02-22
大红菇,野生菌,干货,南华市场,1200.00,2018-02-22
鸡油菌,野生菌,干货,南华市场,380.00,2018-02-22
木耳,野生菌,干货,南华市场,380.00,2018-02-22
松茸,野生菌,干货,南华市场,1800.00,2018-02-22
鸡枞,野生菌,干货,南华市场,400.00,2018-02-22
羊肚菌,野生菌,干货,南华市场,2200.00,2018-02-22
虎掌菌,野生菌,干货,南华市场,1000.00,2018-02-22
松露,野生菌,鲜货,南华市场,620.00,2018-02-12
大红菇,野生菌,干货,南华市场,1200.00,2018-02-12
木耳,野生菌,干货,南华市场,380.00,2018-02-12
松茸,野生菌,干货,南华市场,1800.00,2018-02-12
鸡油菌,野生菌,干货,南华市场,380.00,2018-02-12
虎掌菌,野生菌,干货,南华市场,1000.00,2018-02-12
鸡枞,野生菌,干货,南华市场,400.00,2018-02-12
羊肚菌,野生菌,干货,南华市场,2200.00,2018-02-12
松露,野生菌,干货,南华市场,620.00,2018-01-30
大红菇,野生菌,干货,南华市场,1200.00,2018-01-30
虎掌菌,野生菌,干货,南华市场,1000.00,2018-01-30
松茸,野生菌,干货,南华市场,1800.00,2018-01-30
木耳,野生菌,干货,南华市场,380.00,2018-01-30
鸡油菌,野生菌,干货,南华市场,380.00,2018-01-30
鸡枞,野生菌,干货,南华市场,400.00,2018-01-30
羊肚菌,野生菌,干货,南华市场,2200.00,2018-01-30
松露,野生菌,鲜货,南华市场,620.00,2018-01-22
黑牛肝菌,野生菌,干货,南华市场,450.00,2018-01-22
大红菇,野生菌,干货,南华市场,1200.00,2018-01-22
松茸,野生菌,干货,南华市场,1800.00,2018-01-22
鸡油菌,野生菌,干货,南华市场,380.00,2018-01-22
木耳,野生菌,干货,南华市场,380.00,2018-01-22
鸡枞,野生菌,干货,南华市场,400.00,2018-01-22
羊肚菌,野生菌,干货,南华市场,2200.00,2018-01-22
松露,野生菌,鲜货,南华市场,580.00,2018-01-14
鸡油菌,野生菌,干货,南华市场,260.00,2018-01-14
黑牛肝菌,野生菌,干货,南华市场,280.00,2018-01-14
松茸,野生菌,干货,南华市场,1500.00,2018-01-14
木耳,野生菌,干货,南华市场,320.00,2018-01-14
鸡枞,野生菌,干货,南华市场,400.00,2018-01-14
羊肚菌,野生菌,干货,南华市场,1850.00,2018-01-14
虎掌菌,野生菌,干货,南华市场,850.00,2018-01-14
松露,野生菌,鲜货,南华市场,500.00,2018-01-03
香菇,野生菌,干货,南华市场,280.00,2018-01-03
黑牛肝菌,野生菌,干货,南华市场,280.00,2018-01-03
虎掌菌,野生菌,干货,南华市场,850.00,2018-01-03
木耳,野生菌,干货,南华市场,320.00,2018-01-03
松茸,野生菌,干货,南华市场,1500.00,2018-01-03
鸡枞,野生菌,干货,南华市场,400.00,2018-01-03
羊肚菌,野生菌,干货,南华市场,1850.00,2018-01-03
松露,野生菌,鲜货,南华市场,480.00,2017-12-22
香菇,野生菌,干货,南华市场,280.00,2017-12-22
虎掌菌,野生菌,干货,南华市场,850.00,2017-12-22
牛肝菌,野生菌,干货,南华市场,300.00,2017-12-22
木耳,野生菌,干货,南华市场,320.00,2017-12-22
鸡枞,野生菌,干货,南华市场,400.00,2017-12-22
松茸,野生菌,干货,南华市场,1500.00,2017-12-22
羊肚菌,野生菌,干货,南华市场,1850.00,2017-12-22
松露,野生菌,鲜货,南华市场,400.00,2017-12-15
香菇,野生菌,干货,南华市场,280.00,2017-12-15
虎掌菌,野生菌,干货,南华市场,850.00,2017-12-15
牛肝菌,野生菌,干货,南华市场,300.00,2017-12-15
木耳,野生菌,干货,南华市场,320.00,2017-12-15
鸡枞,野生菌,干货,南华市场,400.00,2017-12-15
松茸,野生菌,干货,南华市场,1500.00,2017-12-15
羊肚菌,野生菌,干货,南华市场,1850.00,2017-12-15
松露,野生菌,鲜货,南华市场,450.00,2017-12-05
老人头,野生菌,干货,南华市场,250.00,2017-12-05
虎掌菌,野生菌,干货,南华市场,850.00,2017-12-05
牛肝菌,野生菌,干货,南华市场,300.00,2017-12-05
木耳,野生菌,干货,南华市场,320.00,2017-12-05
鸡枞,野生菌,干货,南华市场,400.00,2017-12-05
松茸,野生菌,干货,南华市场,1400.00,2017-12-05
羊肚菌,野生菌,干货,南华市场,1700.00,2017-12-05
松露,野生菌,鲜货,南华市场,350.00,2017-11-22
虎掌菌,野生菌,鲜货,南华市场,70.00,2017-11-22
老人头,野生菌,鲜货,南华市场,60.00,2017-11-22
木耳,野生菌,干货,南华市场,320.00,2017-11-22
鸡枞,野生菌,干货,南华市场,400.00,2017-11-22
松茸,野生菌,干货,南华市场,1400.00,2017-11-22
羊肚菌,野生菌,干货,南华市场,1700.00,2017-11-22
虎掌菌,野生菌,干货,南华市场,850.00,2017-11-22
松露,野生菌,鲜货,南华市场,260.00,2017-11-09
鸡油菌,野生菌,鲜货,南华市场,65.00,2017-11-09
青头菌,野生菌,鲜货,南华市场,50.00,2017-11-09
香根,野生菌,鲜货,南华市场,80.00,2017-11-09
虎掌菌,野生菌,鲜货,南华市场,60.00,2017-11-09
鸡枞,野生菌,鲜货,南华市场,160.00,2017-11-09
松茸,野生菌,鲜货,南华市场,700.00,2017-11-09
干巴菌,野生菌,鲜货,南华市场,300.00,2017-11-09
干巴菌,野生菌,鲜货,南华市场,300.00,2017-10-26
松茸,野生菌,鲜货,南华市场,700.00,2017-10-26
红葱,野生菌,鲜货,南华市场,160.00,2017-10-26
白葱,野生菌,鲜货,南华市场,130.00,2017-10-26
鸡油菌,野生菌,鲜货,南华市场,65.00,2017-10-26
香根,野生菌,鲜货,南华市场,80.00,2017-10-26
松露,野生菌,鲜货,南华市场,260.00,2017-10-26
鸡枞,野生菌,鲜货,南华市场,160.00,2017-10-26
松茸,野生菌,鲜货,南华市场,700.00,2017-10-14
干巴菌,野生菌,鲜货,南华市场,350.00,2017-10-14
红葱,野生菌,鲜货,南华市场,160.00,2017-10-14
白葱,野生菌,鲜货,南华市场,110.00,2017-10-14
青头菌,野生菌,鲜货,南华市场,50.00,2017-10-14
香根,野生菌,鲜货,南华市场野,80.00,2017-10-14
松露,野生菌,鲜货,南华市场,260.00,2017-10-14
鸡枞,野生菌,鲜货,南华市场,170.00,2017-10-14
干巴菌,野生菌,鲜货,南华市场,350.00,2017-10-03
红葱,野生菌,鲜货,南华市场,150.00,2017-10-03
松茸,野生菌,鲜货,南华市场,600.00,2017-10-03
白葱,野生菌,鲜货,南华市场,100.00,2017-10-03
鸡油菌,野生菌,鲜货,南华市场,65.00,2017-10-03
青头菌,野生菌,鲜货,南华市场,50.00,2017-10-03
松露,野生菌,鲜货,南华市场,260.00,2017-10-03
鸡枞,野生菌,鲜货,南华市场,170.00,2017-10-03
松茸,野生菌,鲜货,南华市场,500.00,2017-09-24
白葱,野生菌,鲜货,南华市场,110.00,2017-09-24
红葱,野生菌,鲜货,南华市场,150.00,2017-09-24
鸡枞菌,野生菌,鲜货,南华市场,150.00,2017-09-24
虎掌菌,野生菌,鲜货,南华市场,50.00,2017-09-24
青头菌,野生菌,鲜货,南华市场,50.00,2017-09-24
老人头,野生菌,鲜货,南华市场,35.00,2017-09-24
牛肝菌,野生菌,鲜货,南华市场,35.00,2017-09-24
松茸,野生菌,鲜货,南华市场,600.00,2017-09-13
白葱,野生菌,鲜货,南华市场,110.00,2017-09-13
红葱,野生菌,鲜货,南华市场,180.00,2017-09-13
鸡枞菌,野生菌,鲜货,南华市场,200.00,2017-09-13
虎掌菌,野生菌,鲜货,南华市场,80.00,2017-09-13
青头菌,野生菌,鲜货,南华市场,50.00,2017-09-13
老人头菌,野生菌,鲜货,南华市场,35.00,2017-09-13
牛肝菌,野生菌,鲜货,南华市场,35.00,2017-09-13
松茸,野生菌,鲜货,南华市场,500.00,2017-09-02
白葱,野生菌,鲜货,南华市场,80.00,2017-09-02
红葱,野生菌,鲜货,南华市场,130.00,2017-09-02
鸡枞菌,野生菌,鲜货,南华市场,160.00,2017-09-02
虎掌菌,野生菌,鲜货,南华市场,70.00,2017-09-02
青头菌,野生菌,鲜货,南华市场,45.00,2017-09-02
老人头,野生菌,鲜货,南华市场,40.00,2017-09-02
牛肝菌,野生菌,鲜货,南华市场,30.00,2017-09-02
松茸,野生菌,鲜货,南华市场,550.00,2017-08-24
白葱,野生菌,鲜货,南华市场,120.00,2017-08-24
红葱,野生菌,鲜货,南华市场,180.00,2017-08-24
鸡枞菌,野生菌,鲜货,南华市场,240.00,2017-08-24
虎掌菌,野生菌,鲜货,南华市场,130.00,2017-08-24
老人头,野生菌,鲜货,南华市场,35.00,2017-08-24
青头菌,野生菌,鲜货,南华市场,45.00,2017-08-24
牛肝菌,野生菌,鲜货,南华市场,35.00,2017-08-24
松茸,野生菌,鲜货,南华市场,450.00,2017-08-12
白葱,野生菌,鲜货,南华市场,80.00,2017-08-12
红葱,野生菌,鲜货,南华市场,100.00,2017-08-12
鸡枞菌,野生菌,鲜货,南华市场,250.00,2017-08-12
虎掌菌,野生菌,鲜货,南华市场,45.00,2017-08-12
老人头,野生菌,鲜货,南华市场,40.00,2017-08-12
青头菌,野生菌,鲜货,南华市场,45.00,2017-08-12
牛肝菌,野生菌,鲜货,南华市场,35.00,2017-08-12
松茸,野生菌,鲜货,南华市场,600.00,2017-08-02
白葱,野生菌,鲜货,南华市场,100.00,2017-08-02
红葱,野生菌,鲜货,南华市场,120.00,2017-08-02
鸡枞,野生菌,鲜货,南华市场,260.00,2017-08-02
青头菌,野生菌,鲜货,南华市场,60.00,2017-08-02
虎掌菌,野生菌,鲜货,南华市场,55.00,2017-08-02
老人头,野生菌,鲜货,南华市场,30.00,2017-08-02
牛肝菌,野生菌,鲜货,南华市场,35.00,2017-08-02
松茸,野生菌,鲜货,南华市场,500.00,2017-07-26
白葱,野生菌,鲜货,南华市场,70.00,2017-07-26
红葱,野生菌,鲜货,南华市场,70.00,2017-07-26
鸡枞,野生菌,鲜货,南华市场,240.00,2017-07-26
青头菌,野生菌,鲜货,南华市场,55.00,2017-07-26
虎掌菌,野生菌,鲜货,南华市场,50.00,2017-07-26
老人头,野生菌,鲜货,南华市场,25.00,2017-07-26
牛肝菌,野生菌,鲜货,南华市场,30.00,2017-07-26
松茸,野生菌,鲜货,南华市场,600.00,2017-07-21
白葱菌,野生菌,鲜货,南华市场,80.00,2017-07-21
红葱菌,野生菌,鲜货,南华市场,70.00,2017-07-21
鸡枞,野生菌,鲜货,南华市场,280.00,2017-07-21
青头菌,野生菌,鲜货,南华市场,60.00,2017-07-21
虎掌菌,野生菌,鲜货,南华市场,70.00,2017-07-21
老人头,野生菌,鲜货,南华市场,40.00,2017-07-21
牛肝菌,野生菌,鲜货,南华市场,30.00,2017-07-21
松茸,野生菌,鲜货,南华市场,700.00,2017-07-15
白葱菌,野生菌,鲜货,南华市场,100.00,2017-07-15
红葱菌,野生菌,鲜货,南华市场,90.00,2017-07-15
鸡枞,野生菌,鲜货,南华市场,300.00,2017-07-15
青头菌,野生菌,鲜货,南华市场,70.00,2017-07-15
虎掌菌,野生菌,鲜货,南华市场,70.00,2017-07-15
老人头,野生菌,鲜货,南华市场,50.00,2017-07-15
牛肝菌,野生菌,鲜货,南华市场,40.00,2017-07-15
香菇,野生菌,鲜货,南华市场,80.00,2017-07-07
白葱菌,野生菌,鲜货,南华市场,110.00,2017-07-07
红葱菌,野生菌,鲜货,南华市场,90.00,2017-07-07
鸡枞,野生菌,鲜货,南华市场,300.00,2017-07-07
松茸,野生菌,鲜货,南华市场,800.00,2017-07-07
虎掌菌,野生菌,鲜货,南华市场,70.00,2017-07-07
老人头菌,野生菌,鲜货,南华市场,60.00,2017-07-07
牛肝菌,野生菌,鲜货,南华市场,50.00,2017-07-07
牛肝菌,野生菌,干货,南华市场,350.00,2017-06-29
羊肚菌,野生菌,干货,南华市场,2420.00,2017-06-29
老人头菌,野生菌,干货,南华市场,280.00,2017-06-29
虎掌菌,野生菌,干货,南华市场,1000.00,2017-06-29
松茸,野生菌,干货,南华市场,1400.00,2017-06-29
鸡枞,野生菌,鲜货,南华市场,280.00,2017-06-29
白葱菌,野生菌,鲜货,南华市场,110.00,2017-06-29
红葱菌,野生菌,鲜货,南华市场,120.00,2017-06-29
红葱菌,野生菌,鲜货,南华市场,200.00,2017-06-21
白葱菌,野生菌,鲜货,南华市场,180.00,2017-06-21
鸡枞,野生菌,鲜货,南华市场,180.00,2017-06-21
松茸,野生菌,干货,南华市场,1460.00,2017-06-21
虎掌菌,野生菌,干货,南华市场,1100.00,2017-06-21
老人头菌,野生菌,干货,南华市场,280.00,2017-06-21
羊肚菌,野生菌,干货,南华市场,2480.00,2017-06-21
牛肝菌,野生菌,干货,南华市场,348.00,2017-06-21
大红菇,野生菌,,南华市场,365.00,2017-06-21
鸡枞菌,野生菌,干货,南华市场,380.00,2017-06-21
香菇,野生菌,干货,南华市场,220.00,2017-06-21
白葱菌,野生菌,鲜货,南华市场,180.00,2017-05-30
红葱菌,野生菌,鲜货,南华市场,200.00,2017-05-30
牛肝菌,野生菌,干货,南华市场,250.00,2017-05-30
松茸,野生菌,干货,南华市场,1300.00,2017-05-30
大红菇,野生菌,干货,南华市场,280.00,2017-05-30
羊肚菌,野生菌,干货,南华市场,1800.00,2017-05-30
鸡枞菌,野生菌,干货,南华市场,330.00,2017-05-30
香菇,野生菌,干货,南华市场,220.00,2017-05-30
牛肝菌,野生菌,干货,南华市场,300.00,2017-04-23
松茸,野生菌,干货,南华市场,1500.00,2017-04-23
鸡枞菌,野生菌,干货,南华市场,330.00,2017-04-23
木耳,野生菌,干货,南华市场,200.00,2017-04-23
大红菇,野生菌,干货,南华市场,380.00,2017-04-23
羊肚菌,野生菌,干货,南华市场,2400.00,2017-04-23
香菇,野生菌,干货,南华市场,220.00,2017-04-23
虎掌菌,野生菌,干货,南华市场,1000.00,2017-04-23
牛肝菌,野生菌,干货,南华市场,320.00,2017-03-28
松茸,野生菌,干货,南华市场,1400.00,2017-03-28
鸡枞菌,野生菌,干货,南华市场,330.00,2017-03-28
木耳,野生菌,干货,南华市场,200.00,2017-03-28
大红菇,野生菌,干货,南华市场,380.00,2017-03-28
羊肚菌,野生菌,干货,南华市场,2400.00,2017-03-28
香菇,野生菌,干货,南华市场,220.00,2017-03-28
虎掌菌,野生菌,干货,南华市场,1000.00,2017-03-28
牛肝菌,野生菌,干货,南华市场,320.00,2017-02-14
松茸,野生菌,干货,南华市场,1400.00,2017-02-14
鸡枞菌,野生菌,干货,南华市场,330.00,2017-02-14
木耳,野生菌,干货,南华市场,200.00,2017-02-14
大红菇,野生菌,干货,南华市场,380.00,2017-02-14
羊肚菌,野生菌,干货,南华市场,2400.00,2017-02-14
香菇,野生菌,干货,南华市场,220.00,2017-02-14
虎掌菌,野生菌,干货,南华市场,1000.00,2017-02-14
松茸,野生菌,干货,南华市场,1400.00,2017-01-23
羊肚菌,野生菌,干货,南华市场,2300.00,2017-01-23
牛肝菌,野生菌,干货,南华市场,300.00,2017-01-23
大红菇,野生菌,干货,南华市场,380.00,2017-01-23
虎掌菌,野生菌,干货,南华市场,1000.00,2017-01-23
鸡油菌,野生菌,干货,南华市场,260.00,2017-01-23
香菇,野生菌,干货,南华市场,220.00,2017-01-23
鸡枞菌,野生菌,干货,南华市场,330.00,2017-01-23
黑牛肝菌,野生菌,干货,南花市场,280.00,2017-01-23
松茸,野生菌,干货,南华市场,1400.00,2016-12-15
羊肚菌,野生菌,干货,南华市场,2400.00,2016-12-15
牛肝菌,野生菌,干货,南华市场,320.00,2016-12-15
虎掌菌,野生菌,干货,南华市场,1000.00,2016-12-15
鸡枞菌,野生菌,干货,南华市场,330.00,2016-12-15
香菇,野生菌,干货,南华市场,220.00,2016-12-15
老人头菌,野生菌,干货,南华市场,280.00,2016-12-15
大红菇,野生菌,干货,南华市场,380.00,2016-12-15
大红菇,野生菌,干货,南华市场,380.00,2016-11-10
虎掌菌,野生菌,干货,南华市场,1000.00,2016-11-10
羊肚菌,野生菌,干货,南华市场,2400.00,2016-11-10
香菇,野生菌,干货,南华市场,220.00,2016-11-10
鸡枞菌,野生菌,干货,南华市场,330.00,2016-11-10
松茸,野生菌,干货,南华市场,1400.00,2016-11-10
黑牛肝菌,野生菌,干货,南华市场,280.00,2016-11-10
牛肝菌,野生菌,干货,南华市场,320.00,2016-11-10
松茸,野生菌,鲜货,南华市场,470.00,2016-11-10
松露,野生菌,鲜货,南华市场,380.00,2016-11-10
松露,野生菌,鲜货,南华市场,480.00,2016-10-05
松茸,野生菌,鲜货,南华市场,280.00,2016-10-05
大红菇,野生菌,干货,南华市场,380.00,2016-10-05
虎掌菌,野生菌,干货,南华市场,1000.00,2016-10-05
羊肚菌,野生菌,干货,南华市场,2400.00,2016-10-05
鸡枞菌,野生菌,干货,南华市场,330.00,2016-10-05
黑牛肝菌,野生菌,干货,南华市场,280.00,2016-10-05
松茸,野生菌,干货,南华市场,3100.00,2016-10-05
香菇,野生菌,干货,南华市场,220.00,2016-10-05
牛肝菌,野生菌,干货,南华市场,320.00,2016-10-05
松茸,野生菌,鲜货,南华市场,780.00,2016-08-28
黑牛肝菌,野生菌,鲜货,南华市场,45.00,2016-08-28
老人头菌,野生菌,鲜货,南华市场,45.00,2016-08-28
鸡油菌,野生菌,鲜货,南华市场,110.00,2016-08-28
鸡枞菌,野生菌,鲜货,南华市场,180.00,2016-08-28
红葱菌,野生菌,鲜货,南华市场,110.00,2016-08-28
