id,昵称,捐款金额/元,时间,评论内容
669949,张***5,10.00,2022-07-24 16:01:29,助力公益，让我们从现在开始！
669936,宇***2,1.00,2022-07-24 15:22:23,助力公益，让我们从现在开始！
669917,最***娇,1.00,2022-07-24 14:09:34,公益无大小，行动即榜样！
669768,一***鱼,1.50,2022-07-24 08:07:51,用关注传递温暖，让行动表达关爱！
669765,爱心网友,10.00,2022-07-24 08:07:04,助力公益，让我们从现在开始！
669748,东***礼,10.00,2022-07-24 08:03:46,跟我一起，为爱添力！
669744,大***得,1.00,2022-07-24 08:02:56,用关注传递温暖，让行动表达关爱！
669743,你***烧,1.00,2022-07-24 08:02:46,公益无大小，行动即榜样！
669739,爱心网友,11.28,2022-07-24 08:02:33,公益无大小，行动即榜样！
669557,远***果,1.00,2022-07-23 14:43:15,一起向善良致敬！
669426,亦***天,10.00,2022-07-23 08:09:08,用关注传递温暖，让行动表达关爱！
669408,海***蟹,1.00,2022-07-23 08:03:33,跟我一起，为爱添力！
669373,Y***T,2.00,2022-07-23 08:00:35,助力公益，让我们从现在开始！
669205,爱心网友,1.00,2022-07-22 16:03:24,用关注传递温暖，让行动表达关爱！
669204,祺***花,10.00,2022-07-22 16:00:36,一起向善良致敬！
669189,萌***宸,1.00,2022-07-22 14:26:40,一起向善良致敬！
669118,远***果,1.00,2022-07-22 09:20:06,一起向善良致敬！
669084,秦***旋,1.00,2022-07-22 08:05:09,用关注传递温暖，让行动表达关爱！
669078,人***华,1.00,2022-07-22 08:03:14,一起向善良致敬！
668980,远***果,1.00,2022-07-21 22:38:00,公益无大小，行动即榜样！
668924,爱心网友,12.00,2022-07-21 17:44:52,用关注传递温暖，让行动表达关爱！
668883,小***噢,10.00,2022-07-21 14:30:29,公益无大小，行动即榜样！
668875,·***·,2.00,2022-07-21 14:00:35,用关注传递温暖，让行动表达关爱！
668740,爱心网友,1.00,2022-07-21 08:03:04,公益无大小，行动即榜样！
668738,瑶***烊,1.00,2022-07-21 08:02:59,助力公益，让我们从现在开始！
668736,蜡***-,3.40,2022-07-21 08:02:36,公益无大小，行动即榜样！
668726,云***_,1.00,2022-07-21 08:00:26,一起向善良致敬！
668572,m***6,1.00,2022-07-20 18:43:49,公益无大小，行动即榜样！
668555,順***e,1.00,2022-07-20 17:41:16,跟我一起，为爱添力！
668484,盛***福,10.00,2022-07-20 13:35:14,一起向善良致敬！
668346,壹***n,3.00,2022-07-20 10:02:46,跟我一起，为爱添力！
668216,U***1,1.00,2022-07-20 08:07:51,跟我一起，为爱添力！
668209,爱心网友,10.00,2022-07-20 08:05:21,助力公益，让我们从现在开始！
668203,爱心网友,1.00,2022-07-20 08:03:48,用关注传递温暖，让行动表达关爱！
668202,爱心网友,10.00,2022-07-20 08:03:43,跟我一起，为爱添力！
667889,爱***b,1.00,2022-07-19 08:12:50,助力公益，让我们从现在开始！
667884,爱心网友,5.00,2022-07-19 08:04:09,一起向善良致敬！
667883,栗***羽,1.00,2022-07-19 08:04:04,助力公益，让我们从现在开始！
667882,千***Z,2.00,2022-07-19 08:04:02,助力公益，让我们从现在开始！
667881,大***e,10.00,2022-07-19 08:03:53,助力公益，让我们从现在开始！
667880,饼***呢,1.00,2022-07-19 08:03:48,跟我一起，为爱添力！
667879,我***O,1.00,2022-07-19 08:03:39,公益无大小，行动即榜样！
667878,爱心网友,1.00,2022-07-19 08:03:38,用关注传递温暖，让行动表达关爱！
667877,白***鹿,10.00,2022-07-19 08:03:36,跟我一起，为爱添力！
667876,4***命,1.00,2022-07-19 08:03:31,跟我一起，为爱添力！
667874,爱心网友,1.00,2022-07-19 08:03:24,用关注传递温暖，让行动表达关爱！
667794,爱心网友,10.00,2022-07-19 00:13:23,助力公益，让我们从现在开始！
667779,Y***9,1.00,2022-07-18 22:22:46,用关注传递温暖，让行动表达关爱！
667757,I***0,66.00,2022-07-18 20:39:40,跟我一起，为爱添力！
667709,别***啊,1.00,2022-07-18 15:31:21,公益无大小，行动即榜样！
667570,爱心网友,3.00,2022-07-18 08:05:35,跟我一起，为爱添力！
667564,爱心网友,10.00,2022-07-18 08:04:22,一起向善良致敬！
667563,用***6,10.05,2022-07-18 08:04:15,跟我一起，为爱添力！
667559,丨***丨,1.00,2022-07-18 08:03:03,一起向善良致敬！
667557,咻***恼,1.00,2022-07-18 08:03:01,跟我一起，为爱添力！
667556,爱心网友,10.00,2022-07-18 08:02:58,公益无大小，行动即榜样！
667555,十***行,10.00,2022-07-18 08:02:55,公益无大小，行动即榜样！
667554,西***3,1.00,2022-07-18 08:02:53,跟我一起，为爱添力！
667553,爱心网友,10.00,2022-07-18 08:02:50,助力公益，让我们从现在开始！
667552,u***j,10.00,2022-07-18 08:02:47,用关注传递温暖，让行动表达关爱！
667551,黑***_,1.00,2022-07-18 08:02:46,公益无大小，行动即榜样！
667550,陳***选,1.00,2022-07-18 08:02:46,一起向善良致敬！
667549,爱心网友,10.00,2022-07-18 08:02:44,用关注传递温暖，让行动表达关爱！
667546,陌***旧,1.00,2022-07-18 08:02:38,助力公益，让我们从现在开始！
667547,糖***受,10.00,2022-07-18 08:02:38,用关注传递温暖，让行动表达关爱！
667548,锅***r,2.00,2022-07-18 08:02:38,一起向善良致敬！
667544,爱心网友,1.00,2022-07-18 08:02:34,一起向善良致敬！
667543,关***_,1.00,2022-07-18 08:02:32,助力公益，让我们从现在开始！
667542,暗***7,10.00,2022-07-18 08:02:30,跟我一起，为爱添力！
667540,爱心网友,1.00,2022-07-18 08:02:28,一起向善良致敬！
667538,N***e,1.00,2022-07-18 08:02:26,公益无大小，行动即榜样！
667539,八***乐,10.00,2022-07-18 08:02:26,助力公益，让我们从现在开始！
667537,P***冻,1.00,2022-07-18 08:02:25,助力公益，让我们从现在开始！
667536,迎***人,10.00,2022-07-18 08:02:20,助力公益，让我们从现在开始！
667535,爱心网友,1.00,2022-07-18 08:02:19,跟我一起，为爱添力！
667534,爱心网友,1.00,2022-07-18 08:02:18,一起向善良致敬！
667533,-***-,1.00,2022-07-18 08:02:16,助力公益，让我们从现在开始！
667532,爱心网友,5.00,2022-07-18 08:02:15,用关注传递温暖，让行动表达关爱！
667530,爱心网友,10.00,2022-07-18 08:02:13,跟我一起，为爱添力！
667531,爱心网友,5.00,2022-07-18 08:02:13,助力公益，让我们从现在开始！
667529,奈***o,1.00,2022-07-18 08:02:12,一起向善良致敬！
667528,Y***X,1.00,2022-07-18 08:02:12,用关注传递温暖，让行动表达关爱！
667527,爱心网友,1.00,2022-07-18 08:02:11,公益无大小，行动即榜样！
667525,龙***呀,1.00,2022-07-18 08:02:10,用关注传递温暖，让行动表达关爱！
667524,香***饭,10.00,2022-07-18 08:01:58,一起向善良致敬！
667522,小***肉,50.00,2022-07-18 08:01:23,一起向善良致敬！
667489,爱心网友,5.00,2022-07-18 06:04:23,用关注传递温暖，让行动表达关爱！
667213,清***尘,10.00,2022-07-17 08:49:05,公益无大小，行动即榜样！
667185,爱心网友,10.00,2022-07-17 08:09:53,公益无大小，行动即榜样！
667158,爱心网友,1.00,2022-07-17 08:02:11,一起向善良致敬！
667157,爱心网友,1.00,2022-07-17 08:02:07,公益无大小，行动即榜样！
667156,爱心网友,5.00,2022-07-17 08:02:05,助力公益，让我们从现在开始！
667155,m***_,10.00,2022-07-17 08:01:59,跟我一起，为爱添力！
667094,远***果,1.00,2022-07-17 00:11:26,跟我一起，为爱添力！
667056,5***8,20.00,2022-07-16 21:44:50,公益无大小，行动即榜样！
667011,爱***疑,1.00,2022-07-16 17:25:06,一起向善良致敬！
667003,爱心网友,10.00,2022-07-16 16:31:53,一起向善良致敬！
666819,爱心网友,10.00,2022-07-16 08:10:38,跟我一起，为爱添力！
666815,w***7,2.31,2022-07-16 08:10:25,助力公益，让我们从现在开始！
666812,嘉***喲,10.00,2022-07-16 08:08:40,一起向善良致敬！
666791,岁***吖,1.00,2022-07-16 08:06:11,一起向善良致敬！
666784,爱心网友,1.00,2022-07-16 08:03:41,跟我一起，为爱添力！
666783,爱心网友,10.00,2022-07-16 08:03:39,助力公益，让我们从现在开始！
666779,别***苗,10.00,2022-07-16 08:03:03,一起向善良致敬！
666725,小***M,10.00,2022-07-15 23:40:28,助力公益，让我们从现在开始！
666556,用***8,5.00,2022-07-15 08:22:19,一起向善良致敬！
666530,r***i,2.00,2022-07-15 08:05:21,公益无大小，行动即榜样！
666527,i***x,1.00,2022-07-15 08:03:25,公益无大小，行动即榜样！
666526,R***2,5.00,2022-07-15 08:02:38,一起向善良致敬！
666459,那***6,1.00,2022-07-15 00:06:55,一起向善良致敬！
666374,兮***婉,2.00,2022-07-14 14:51:27,助力公益，让我们从现在开始！
666356,冰***圆,10.00,2022-07-14 13:14:39,助力公益，让我们从现在开始！
666270,爱心网友,5.00,2022-07-14 08:02:26,跟我一起，为爱添力！
666269,芝***糖,119.00,2022-07-14 08:02:18,跟我一起，为爱添力！
666201,榴***_,5.00,2022-07-13 23:29:43,一起向善良致敬！
666071,修***·,7.20,2022-07-13 11:56:06,跟我一起，为爱添力！
666052,豆***香,1.00,2022-07-13 10:31:30,公益无大小，行动即榜样！
665974,爱心网友,1.00,2022-07-13 08:06:10,一起向善良致敬！
665964,爱心网友,1.00,2022-07-13 08:02:54,助力公益，让我们从现在开始！
665963,猪***茸,10.00,2022-07-13 08:02:43,跟我一起，为爱添力！
665960,爱心网友,1.00,2022-07-13 08:02:41,助力公益，让我们从现在开始！
665879,爱心网友,1.00,2022-07-12 22:48:23,一起向善良致敬！
665840,爱心网友,10.00,2022-07-12 19:48:03,公益无大小，行动即榜样！
665817,笨***恼,1.00,2022-07-12 17:06:42,公益无大小，行动即榜样！
665802,也***旬,1.00,2022-07-12 16:01:03,跟我一起，为爱添力！
665746,宇***2,1.00,2022-07-12 11:52:00,用关注传递温暖，让行动表达关爱！
665646,爱心网友,1.00,2022-07-12 08:04:33,助力公益，让我们从现在开始！
665645,是***啊,1.00,2022-07-12 08:04:31,用关注传递温暖，让行动表达关爱！
665644,黄***主,1.00,2022-07-12 08:04:30,助力公益，让我们从现在开始！
665643,爱心网友,1.00,2022-07-12 08:04:30,跟我一起，为爱添力！
665642,钟***8,1.00,2022-07-12 08:04:28,助力公益，让我们从现在开始！
665640,赵***x,10.00,2022-07-12 08:04:22,公益无大小，行动即榜样！
665639,爱心网友,10.00,2022-07-12 08:04:22,用关注传递温暖，让行动表达关爱！
665641,漂***童,1.00,2022-07-12 08:04:20,助力公益，让我们从现在开始！
665638,X***l,1.00,2022-07-12 08:04:20,公益无大小，行动即榜样！
665635,追***O,1.00,2022-07-12 08:04:14,公益无大小，行动即榜样！
665634,爱心网友,1.00,2022-07-12 08:04:10,公益无大小，行动即榜样！
665633,钟***尔,1.00,2022-07-12 08:04:03,公益无大小，行动即榜样！
665632,爱心网友,5.00,2022-07-12 08:04:02,助力公益，让我们从现在开始！
665631,爱心网友,1.00,2022-07-12 08:03:56,公益无大小，行动即榜样！
665630,爱心网友,1.00,2022-07-12 08:03:54,公益无大小，行动即榜样！
665629,l***6,2.00,2022-07-12 08:03:50,公益无大小，行动即榜样！
665628,暴***呀,1.00,2022-07-12 08:03:48,助力公益，让我们从现在开始！
665627,爱心网友,10.00,2022-07-12 08:03:47,公益无大小，行动即榜样！
665626,爱心网友,1.00,2022-07-12 08:03:43,助力公益，让我们从现在开始！
665625,c***1,1.00,2022-07-12 08:03:35,公益无大小，行动即榜样！
665607,刘***猫,10.00,2022-07-12 08:00:48,公益无大小，行动即榜样！
665265,远***果,1.00,2022-07-11 09:54:54,跟我一起，为爱添力！
665227,H***s,10.00,2022-07-11 08:21:14,一起向善良致敬！
665226,爱心网友,10.00,2022-07-11 08:19:42,一起向善良致敬！
665221,W***k,1.00,2022-07-11 08:18:48,助力公益，让我们从现在开始！
665217,爱心网友,10.00,2022-07-11 08:17:01,助力公益，让我们从现在开始！
665216,后***L,1.00,2022-07-11 08:16:53,用关注传递温暖，让行动表达关爱！
665215,爱心网友,5.00,2022-07-11 08:16:49,公益无大小，行动即榜样！
665214,石***q,1.00,2022-07-11 08:16:46,公益无大小，行动即榜样！
665213,唔***嘿,10.00,2022-07-11 08:16:45,用关注传递温暖，让行动表达关爱！
665212,爱心网友,1.00,2022-07-11 08:16:41,公益无大小，行动即榜样！
665211,爱心网友,1.00,2022-07-11 08:16:37,用关注传递温暖，让行动表达关爱！
665210,大***璽,1.00,2022-07-11 08:16:35,用关注传递温暖，让行动表达关爱！
665209,一***欢,30.00,2022-07-11 08:16:33,助力公益，让我们从现在开始！
665208,爱心网友,10.00,2022-07-11 08:16:30,公益无大小，行动即榜样！
665207,爱心网友,1.00,2022-07-11 08:16:28,跟我一起，为爱添力！
665206,爱心网友,10.00,2022-07-11 08:16:27,一起向善良致敬！
665205,今***吗,1.00,2022-07-11 08:16:24,跟我一起，为爱添力！
665204,爱心网友,5.00,2022-07-11 08:16:22,助力公益，让我们从现在开始！
665203,爱心网友,1.00,2022-07-11 08:16:21,跟我一起，为爱添力！
665202,祭***影,1.00,2022-07-11 08:16:20,跟我一起，为爱添力！
665201,爱心网友,10.00,2022-07-11 08:16:08,一起向善良致敬！
665200,才***雪,10.00,2022-07-11 08:16:03,一起向善良致敬！
665199,在***p,1.00,2022-07-11 08:16:01,助力公益，让我们从现在开始！
665198,小***_,1.00,2022-07-11 08:15:59,跟我一起，为爱添力！
665197,昨***-,5.00,2022-07-11 08:15:57,公益无大小，行动即榜样！
665196,S***7,13.14,2022-07-11 08:15:55,一起向善良致敬！
665195,爱心网友,1.00,2022-07-11 08:15:53,跟我一起，为爱添力！
665194,爱心网友,1.00,2022-07-11 08:15:49,跟我一起，为爱添力！
665193,爱心网友,1.00,2022-07-11 08:15:47,一起向善良致敬！
665192,筱***s,1.00,2022-07-11 08:15:43,一起向善良致敬！
665191,b***6,10.00,2022-07-11 08:15:41,公益无大小，行动即榜样！
665189,X***你,10.50,2022-07-11 08:15:39,用关注传递温暖，让行动表达关爱！
665188,爱心网友,1.00,2022-07-11 08:15:37,跟我一起，为爱添力！
665187,爱心网友,1.00,2022-07-11 08:15:32,一起向善良致敬！
665186,农***伟,10.00,2022-07-11 08:15:26,助力公益，让我们从现在开始！
665184,爱心网友,1.00,2022-07-11 08:15:19,用关注传递温暖，让行动表达关爱！
665185,千***嘛,1.00,2022-07-11 08:15:19,跟我一起，为爱添力！
665183,爱心网友,10.00,2022-07-11 08:15:17,公益无大小，行动即榜样！
665182,爱心网友,1.00,2022-07-11 08:15:16,跟我一起，为爱添力！
665181,懂***特,2.00,2022-07-11 08:15:14,用关注传递温暖，让行动表达关爱！
665180,轱***儿,10.00,2022-07-11 08:15:11,用关注传递温暖，让行动表达关爱！
665179,日***X,1.00,2022-07-11 08:15:07,一起向善良致敬！
665178,凝***米,10.00,2022-07-11 08:15:02,用关注传递温暖，让行动表达关爱！
665177,神***间,11.28,2022-07-11 08:14:52,一起向善良致敬！
665151,H***子,1.00,2022-07-11 08:09:05,公益无大小，行动即榜样！
665139,桃***恩,1.00,2022-07-11 08:07:36,助力公益，让我们从现在开始！
665138,爱心网友,1.00,2022-07-11 08:07:32,用关注传递温暖，让行动表达关爱！
665137,一***折,1.00,2022-07-11 08:07:24,一起向善良致敬！
665134,慈***铭,10.00,2022-07-11 08:07:08,助力公益，让我们从现在开始！
665132,爱心网友,1.00,2022-07-11 08:06:35,跟我一起，为爱添力！
665121,恰***瓜,1.00,2022-07-11 08:05:33,助力公益，让我们从现在开始！
665120,澍***S,10.00,2022-07-11 08:05:31,公益无大小，行动即榜样！
665118,南***_,1.00,2022-07-11 08:05:30,一起向善良致敬！
