微博id(评论来自于这),用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4801695982818086,4801696230281690,少女们,2022-08-12 17:36:36,辽宁,实在不行你就报警吧,4.8万,0
4801695982818086,4801696662815655,日本国父,2022-08-12 17:36:36,重庆,美国可以把所有毒品合法化，就不用跟我们合作了,4200,47
4801695982818086,4801696423739760,Espoir-17,2022-08-12 17:36:36,四川,真的，如果不是这次制裁，我都不知道美国居然在禁毒,187,0
4801695982818086,4801697878383222,HYH吴情,2022-08-12 17:36:36,湖北,鹰酱：我的犯罪率世界最底。🐰：你怎么做到的。鹰酱：把犯罪合法化。🐰：,618,0
4801695982818086,4801696670680713,乐评文案,2022-08-12 17:36:36,湖北,就是要这个效果,1.1万,0
4801695982818086,4801696305779155,春天的_Spring,2022-08-12 17:36:36,江苏,未来会有更多你们不可接受的东西，等着吧,454,0
4801695982818086,4801697199690022,栗香派派,2022-08-12 17:36:36,广东,那疼就打那,13.6万,4
4801695982818086,4801696163957119,栗香派派,2022-08-12 17:36:36,广东,不可接受就挺着，自找的,13.6万,2
4801695982818086,4801696943052395,热冰美式,2022-08-12 17:36:36,韩国,,2592,0
4801695982818086,4801704908820760,无知无觉的小透明,2022-08-12 17:36:36,北京,爱接受不接受,2,1
4801695982818086,4801698696266330,urCruuush,2022-08-12 17:36:36,北京,属实是仁至义尽了，再问就不礼貌了,299,0
4801695982818086,4801698272644523,软禁八阿哥,2022-08-12 17:36:36,,不到好喜欢继续坚持坚持就能从你那车俊俊夫麻烦看看蜂蜜蜂蜜奶粉奶粉那麻烦麻烦你发你能否能否能否你能否能否能否男女愤怒愤怒愤怒南方南方农村奶奶才能吃奶粉你能否农村奶奶烦恼呢,1323,0
4801695982818086,4801697958074904,软禁八阿哥,2022-08-12 17:36:36,,好多话好多好多话,1323,0
4801695982818086,4801697890967064,软禁八阿哥,2022-08-12 17:36:36,,h sh s j,1323,0
4801695982818086,4801697798691246,软禁八阿哥,2022-08-12 17:36:36,,黄金时间中j j d j d,1323,0
4801695982818086,4801696662033627,软禁八阿哥,2022-08-12 17:36:36,,du j s,1323,0
4801695982818086,4801702673252650,_诸事顺意_,2022-08-12 17:36:36,海南,我们对美国政府的不可接受表示不可接受,190,0
4801695982818086,4801709829002539,珊大刘学生真兴伏,2022-08-12 17:36:36,北京,美国人多吸点,16,0
4801695982818086,4801706036040726,沉默是金H3,2022-08-12 17:36:36,天津,美国脸就是大，不可接受自己内部消化去，跟中国说不着。,17,0
4801695982818086,4801705348172728,小镇牧羊人_,2022-08-12 17:36:36,江苏,美国什么时候禁过毒了,57,0
4801620808565099,4801622054536126,金灿荣教授,2022-08-12 12:37:52,北京,不当家不知柴米贵。//@随性随风可奈何:尹锡悦这次的表现，出乎很多人的意料，毕竟之前都视他为右，很亲美，比较反华。看来尹锡悦和他背后的力量都比较清醒。,254.6万,77
4801620808565099,4801622196357150,大机哥哥继续前进,2022-08-12 12:37:52,北京,南朝鲜：我是棒子，又不是傻子,49,110
4801620808565099,4801621211745077,网络精神病司法鉴定中心,2022-08-12 12:37:52,江苏,要的就是两边通吃，反正太子之位也轮不到他，倭寇暂时是太子！,1.2万,91
4801620808565099,4801621882572940,枫叶秋色染,2022-08-12 12:37:52,江西,美国掏空中国的一中原则，韩国掏空美国的芯片法案,113,22
4801620808565099,4801623157639001,8Milell,2022-08-12 12:37:52,广东,没必要过度解读，美国还是他爹。时时变的,3,20
4801620808565099,4801621722924168,河北刘江宏,2022-08-12 12:37:52,山东,南朝鲜能认识到这点儿已经很不错了。,389,17
4801620808565099,4801624750949530,景园1983,2022-08-12 12:37:52,黑龙江,因为表现可以，所以见面顺理成章！你可是一个学者呀，对国际关系就这认知水平？,21,3
4801620808565099,4801621060225284,kaaia,2022-08-12 12:37:52,江苏,韩国相对来说比日本处理的好一点,57,3
4801620808565099,4801621625932724,罂粟刺儿1222,2022-08-12 12:37:52,新疆,墙头草。比日本强一点。,26,8
4801620808565099,4801625014668003,科朗纳多,2022-08-12 12:37:52,北京,寄生虫国家的悲哀，他们的命运完全取决于宿主们,1.4万,5
4801620808565099,4801633390692721,CrowleyFung,2022-08-12 12:37:52,北京,再往后看吧 萨德一安说什么也没用,159,4
4801620808565099,4801623761884612,Sttttevennn,2022-08-12 12:37:52,广东,芯片问题影响最大是韩国,1509,4
4801620808565099,4801638772247368,大空头LM,2022-08-12 12:37:52,广东,但是最后韩国还是会参加美国的芯片联盟围堵中国啊,89,1
4801620808565099,4801633390959977,限速42的大馬路,2022-08-12 12:37:52,浙江,毕竟韩国不属于总统属于财团,3151,2
4801620808565099,4801622901528033,firstinter,2022-08-12 12:37:52,广东,小鬼子表现差，得教训一下,259,4
4801620808565099,4801654140699104,牙缝妞,2022-08-12 12:37:52,江苏,不支持一中，我们就支持一个朝鲜，他看着办吧,203,0
4801620808565099,4801642829190892,蛊傩,2022-08-12 12:37:52,广东,这不是韩国的真实面，而是我们政府多年来的经营摁住了他的命门，所以老祖宗一再三强调打铁还需自身硬，,206,3
4801620808565099,4801667588164573,无尘道道,2022-08-12 12:37:52,江苏,南朝鲜:北边有个动不动发导弹说要扔蘑菇的疯子，你说我清醒不清醒,145,1
4801620808565099,4801645222824366,冰封号角,2022-08-12 12:37:52,江西,韩国布置萨德也顺理成章？,159,2
4801620808565099,4801626348457701,慎独信仰,2022-08-12 12:37:52,山西,有个小兄弟就是好啊,13,1
4801706905567324,4801708141579182,华莱士魔法鸡块,2022-08-12 18:19:59,云南,把公司搬到开曼群岛？,1020,0
4801706905567324,4801707755706392,人类命运共同体和生态文明,2022-08-12 18:19:59,广东,有结婚的时候，就自然也会有离婚的可能，此乃人间常态，单方面的努力也是没法维持婚姻的,125,1
4801706905567324,4801707396041597,思思_嘿咻嘿咻,2022-08-12 18:19:59,上海,好的（什么都不懂强行好的）,63,1
4801706905567324,4801711136573455,猫肥家润的微博,2022-08-12 18:19:59,北京,有啥影响吗？,298,0
4801706905567324,4801710155628912,我信你能懂,2022-08-12 18:19:59,江苏,好久没做视频节目了，我要催更,65,0
4801706905567324,4801710016957807,宇哥天晴_,2022-08-12 18:19:59,辽宁,人寿和铝业也退了,514,0
4801695845188614,4801709659915876,阿O同学,2022-08-12 17:36:03,广西,翻了半天，直到看到这里了才明白怎么回事,653,4
4801695845188614,4801708020204606,木子每天都要超开森,2022-08-12 17:36:03,北京,zg还是太人道主义了，这要是利欲熏心的别国只顾赚钱谁还管你干什么用，买的越多越好，好好的合作你不珍惜，非要搞小动作，这下好了，完全是自作自受,257,1
4801695845188614,4801705433108125,小熊主唱_也,2022-08-12 17:36:03,河南,哇 明白了,78,1
4801695845188614,4801710939179944,今天早睡了码,2022-08-12 17:36:03,江西,太牛了！！！！,1,0
4801695845188614,4801710889114580,阿多多阿多多,2022-08-12 17:36:03,上海,厉害咯,265,0
4801695845188614,4801710197833981,吃瓜围观打酱油,2022-08-12 17:36:03,广东,谢谢明白人,11,0
4801695845188614,4801711094370740,綦巧林,2022-08-12 17:36:03,广东,网页链接 这篇文章也写清楚了,798,0
4801710042382600,4801710738113986,哇田先森,2022-08-12 18:32:27,辽宁,就目前内需，大概率支撑不起来我们的生产能力。我们目前的的产能可以倾销大部分商品都任何国家。如果外贸没有，我觉得基本就是否认改革开放这条路。,358,2
4801710042382600,4801712105723403,月线人,2022-08-12 18:32:27,浙江,汇率一口气大涨50%,4,0
4801710042382600,4801710491697663,霞宝宝男人,2022-08-12 18:32:27,北京,要想继续做生意，只能人民币结算。,251,8
4801710042382600,4801710688836486,圖髭鍾畫跏,2022-08-12 18:32:27,福建,rmb要升了吗,49,8
4801710042382600,4801710465746296,广厦天下的王大锤,2022-08-12 18:32:27,美国,我读书少，这意思是一美元换的人民币少了？,205,0
4801710042382600,4801710352504140,哈哈e_e,2022-08-12 18:32:27,广东,RMB要爆升？,5,1
4801710042382600,4801711791932686,山林大海,2022-08-12 18:32:27,江苏,借人民币成本比美元低了。,410,0
4801710042382600,4801712470884957,耐性与敏感,2022-08-12 18:32:27,辽宁,几轮经济危机美国怎么霍霍全世界的，这次我要看他怎么死！,134,0
4801710042382600,4801711522447758,惊蛰印阿宅宅宅,2022-08-12 18:32:27,山东,所以说早早人民币结算多好,1221,0
4801710042382600,4801711271579187,去杠杆,2022-08-12 18:32:27,北京,货币跟国家效率挂钩，自由浮动就意味着各玩各的，市场化竞争了。赌人民币要升。,125,0
4801710042382600,4801710906936450,刚子小宝贝,2022-08-12 18:32:27,浙江,做外贸的我瑟瑟发抖，那这样其他国家货币顿换人民币也一样不稳了,322,0
4801710042382600,4801711217312864,zkwzslj,2022-08-12 18:32:27,上海,手里有人民币就是王道,12,0
4801710042382600,4801711203418368,鲸龟换狗,2022-08-12 18:32:27,上海,有些单细胞生物以为世界上只有美国跟中国做生意,0,0
4801710042382600,4801710198097717,穿越1874年的前世今生,2022-08-12 18:32:27,浙江,OKOK 谢谢婶提醒,1,0
4801710042382600,4801711329247533,命理与姓名关系学李炫燊,2022-08-12 18:32:27,广东,老美要自求多福了,1328,0
4801710822787450,4801711007339246,三重煲陛庄田守,2022-08-12 18:35:34,山东,脱钩开始了，好事,42,39
4801710822787450,4801710877575779,萌少0719,2022-08-12 18:35:34,四川,台海危,258,15
4801710822787450,4801711727711306,酆都穿越专业户,2022-08-12 18:35:34,广西,啧啧啧，还在炒外汇和期货的小心了，这个信号可不是积极的信号,116,3
4801710822787450,4801711082311242,美人鲨我,2022-08-12 18:35:34,湖北,摸着大毛老师过河吗？,5,5
4801710822787450,4801711505936099,一壶渡清欢,2022-08-12 18:35:34,江苏,先发制人，给对方省点力气,66,1
4801710822787450,4801712055912734,PzKpfwVIB_Tiger,2022-08-12 18:35:34,上海,减少战时“人质”的危险。,221,1
4801710822787450,4801712428160643,伊蒙阿唎耶11,2022-08-12 18:35:34,安徽,难道不该退吗？都是民脂民膏供养的大爷,94,0
4801710822787450,4801712407709974,南风开杠的琳琳,2022-08-12 18:35:34,北京,🥹再也回不去了哎,321,0
4801710822787450,4801712546122808,鑫响世承168,2022-08-12 18:35:34,广东,西方白皮霉国佬无耻无下限，退市是好事。,20,0
4801710822787450,4801712001648153,ACCN不存在的,2022-08-12 18:35:34,江苏,都是垄断国企，阿里腾讯这些民企还不长点眼力见？,61,0
4801710822787450,4801712211102991,爱喝咖啡的德先生,2022-08-12 18:35:34,江苏,开始了,0,0
4801710822787450,4801712168108444,你路大哥,2022-08-12 18:35:34,北京,等着美国公开抢劫？叙利亚这几天又被美国抢了100多车石油,381,0
4801710822787450,4801711535554779,锡锡喺掂過碌蔗,2022-08-12 18:35:34,广东,长痛不如短痛，大毛的军事行动给了兔子很好范例，这样可以尽量减少因梧桐台湾而被西方国家制裁带来的影响,1181,8
4801710822787450,4801711405794552,Dr王博,2022-08-12 18:35:34,山西,请问苹果手机还能用吗？,1043,1
4801710822787450,4801711073395358,凐灭2011,2022-08-12 18:35:34,江西,总脱钩开始了。,12,1
4801709480085842,4801710121292407,噗通一下man,2022-08-12 18:30:14,湖南,上了又退，真麻烦。干脆劝企业不要去美国上市了,476,1
4801709480085842,4801710322876708,酷炫小太郎,2022-08-12 18:30:14,湖北,开始掀桌子了,45,6
4801709480085842,4801709861767901,量化守情,2022-08-12 18:30:14,浙江,寄托凭证不算是正事上市吧？,394,1
4801709480085842,4801710100585739,Socrates520,2022-08-12 18:30:14,北京,都会退的，我就担心阿里巴巴从哪弄几万亿私有化公司，说不定跌倒100亿了 再买回来，这样便宜点,700,1
4801709480085842,4801711728494202,红鹦绿鹉,2022-08-12 18:30:14,北京,选2 ,21,0
4801709480085842,4801711501740392,哈哈哈哈哈2022Going,2022-08-12 18:30:14,浙江,回到港股,11,0
4801709480085842,4801711049018859,牛之炼金术师,2022-08-12 18:30:14,北京,美帝证监会说了，不管退不退市，都得查，一家不配合全违规,2,0
4801709480085842,4801709975798473,平数小生,2022-08-12 18:30:14,上海,凭证也要求这么严格啊,82,0
4801709480085842,4801710650561184,605142706qvBnM,2022-08-12 18:30:14,浙江,退了都回来 受的了？怎么搞,378,0
4801709480085842,4801710515819161,风轻云淡淡淡淡爱打游戏,2022-08-12 18:30:14,广东,两种原因都有，要不人家也是拉个名单吓唬你，不如早退,119,0
4801694997684956,4801696796773935,莓信号,2022-08-12 17:32:41,湖南,为什么点赞有表情啊,1631,1
4801694997684956,4801709806718131,老公我是森森啊,2022-08-12 17:32:41,吉林,作為一個來到東北的台灣人，我對你的話表示讚同。,7605,3
4801694997684956,4801710445559814,宁眼里有星辰,2022-08-12 17:32:41,浙江,等你来大陆,564,0
4801694997684956,4801709572097135,吃喝玩乐重度爱好者,2022-08-12 17:32:41,安徽,黑色字越看越红 哈哈哈哈哈哈哈哈 我也好想可以 去台湾自由行看海哦 08年台湾和大陆不是一起玩的很好吗 搞不懂台独有什么好的 回归不是背靠大树好乘凉 干嘛要搞这些事情,62,0
4801694997684956,4801706267250055,小鹰子儿,2022-08-12 17:32:41,江苏,加油 等着 那一天快到来了,256,0
4801694997684956,4801698482882155,时团不知名圈外老婆,2022-08-12 17:32:41,陕西,台湾是中国的！🇨🇳,33,0
4801694997684956,4801708927225242,David磨晕Goliath,2022-08-12 17:32:41,广东,加油 等着 那一天快到来了等统一了很想试试台湾的高新医院,105,0
4801706557441119,4801710168213865,元spring,2022-08-12 18:18:36,重庆,本来当棋子的，没想到被反将了一军。可以分析一下，退的弊端吗？,250,0
4801706557441119,4801708188238153,文澈策,2022-08-12 18:18:36,四川,没想到会主动一起退，都以为再难都能沟通，继续苟,11,3
4801695982818086,4801696230281690,少女们,2022-08-12 17:36:36,辽宁,实在不行你就报警吧,4.8万,129
4801695982818086,4801696662815655,日本国父,2022-08-12 17:36:36,重庆,美国可以把所有毒品合法化，就不用跟我们合作了,4200,47
4801695982818086,4801696423739760,Espoir-17,2022-08-12 17:36:36,四川,真的，如果不是这次制裁，我都不知道美国居然在禁毒,187,41
4801695982818086,4801697878383222,HYH吴情,2022-08-12 17:36:36,湖北,鹰酱：我的犯罪率世界最底。🐰：你怎么做到的。鹰酱：把犯罪合法化。🐰：,618,37
4801695982818086,4801696670680713,乐评文案,2022-08-12 17:36:36,湖北,就是要这个效果,1.1万,17
4801695982818086,4801696305779155,春天的_Spring,2022-08-12 17:36:36,江苏,未来会有更多你们不可接受的东西，等着吧,454,17
4801695982818086,4801697199690022,栗香派派,2022-08-12 17:36:36,广东,那疼就打那,13.6万,4
4801695982818086,4801696163957119,栗香派派,2022-08-12 17:36:36,广东,不可接受就挺着，自找的,13.6万,2
4801695982818086,4801696943052395,热冰美式,2022-08-12 17:36:36,韩国,,2592,1
4801695982818086,4801704908820760,无知无觉的小透明,2022-08-12 17:36:36,北京,爱接受不接受,2,1
4801695982818086,4801698696266330,urCruuush,2022-08-12 17:36:36,北京,属实是仁至义尽了，再问就不礼貌了,299,4
4801695982818086,4801698272644523,软禁八阿哥,2022-08-12 17:36:36,,不到好喜欢继续坚持坚持就能从你那车俊俊夫麻烦看看蜂蜜蜂蜜奶粉奶粉那麻烦麻烦你发你能否能否能否你能否能否能否男女愤怒愤怒愤怒南方南方农村奶奶才能吃奶粉你能否农村奶奶烦恼呢,1323,0
4801695982818086,4801697958074904,软禁八阿哥,2022-08-12 17:36:36,,好多话好多好多话,1323,0
4801695982818086,4801697890967064,软禁八阿哥,2022-08-12 17:36:36,,h sh s j,1323,0
4801695982818086,4801697798691246,软禁八阿哥,2022-08-12 17:36:36,,黄金时间中j j d j d,1323,0
4801695982818086,4801696662033627,软禁八阿哥,2022-08-12 17:36:36,,du j s,1323,0
4801695982818086,4801702673252650,_诸事顺意_,2022-08-12 17:36:36,海南,我们对美国政府的不可接受表示不可接受,190,4
4801695982818086,4801709829002539,珊大刘学生真兴伏,2022-08-12 17:36:36,北京,美国人多吸点,16,0
4801695982818086,4801706036040726,沉默是金H3,2022-08-12 17:36:36,天津,美国脸就是大，不可接受自己内部消化去，跟中国说不着。,17,0
4801695982818086,4801705348172728,小镇牧羊人_,2022-08-12 17:36:36,江苏,美国什么时候禁过毒了,57,0
4801704715359628,4801706027648986,兔小妞儿恋爱ing,2022-08-12 18:11:18,江苏,都有时候的照样不认,449,3
4801704715359628,4801706406184056,Vivian薇薇an,2022-08-12 18:11:18,江苏,一贯作风，一脉相承,554,1
4801704715359628,4801705780186447,睡zhuo的水,2022-08-12 18:11:18,重庆,2019年4月15日，美国国务卿迈克·蓬佩奥在美国得克萨斯州A&amp;M大学（得州农工大学）进行演讲。其间，他直白地承认：“我曾担任美国中央情报局（CIA）的局长。我们撒谎、我们欺骗、我们偷窃，我们还有一门课程专门来教这些。这才是美国不断探索进取的荣耀。,122,2
4801704715359628,4801705180399716,玉渊天潭,2022-08-12 18:11:18,浙江,要脸就当不了美国政客,0,2
4801710977979168,4801712089203245,窨制山羊,2022-08-12 18:36:11,北京,是美日直接建设祠堂了,46,2
4801710977979168,4801711455605175,柚柚柚闹闹闹,2022-08-12 18:36:11,江苏,美国日本说句将要来它们都能感恩戴德好多年信不信,435,2
4801710977979168,4801711560723932,捡来的小哪吒,2022-08-12 18:36:11,湖北,,17,0
4801710977979168,4801712030221815,o梅子酒z,2022-08-12 18:36:11,山东,舔狗舔到最后一无所有,8,0
4801710977979168,4801711447214234,撒哈拉齐齐呢,2022-08-12 18:36:11,河南,咱施恩不图报可谋逆杀全家！,1538,0
4801701989057607,4801708256138774,柳萌梦,2022-08-12 18:00:28,广西,gg,7,0
4801701989057607,4801707290400984,哇哦中了,2022-08-12 18:00:28,山东,断交,205,0
4801701989057607,4801703738088042,弘毅5455,2022-08-12 18:00:28,广东,迟早的事。,14,0
4801701989057607,4801705302823538,林曉迪,2022-08-12 18:00:28,广东,中丐都回来接不住啊，还是非常需要境外资本市场,738,1
4801701989057607,4801705231253942,武义陈炳华,2022-08-12 18:00:28,浙江,为台海之战做准备,371,1
4801701989057607,4801704988775077,米唐的春天,2022-08-12 18:00:28,浙江,别呀老吴，我们还没一起吃饭呢,746,0
4801701989057607,4801704400257288,阳洋的亿S,2022-08-12 18:00:28,辽宁,这些年他妈的给他们分了数万亿红，一脚踢开了。,581,3
4801701989057607,4801703775835346,彭云555,2022-08-12 18:00:28,重庆,美国又搬石头砸自己脚了？,33,1
4801697572717405,4801709266700179,羚羊上树,2022-08-12 17:42:55,浙江,只能说一句自食恶果了,270,1
4801697572717405,4801703158748878,笑醉红尘起,2022-08-12 17:42:55,安徽,自己做的孽,385,1
4801697572717405,4801699002450591,人生的面积,2022-08-12 17:42:55,江苏,也是服了，自己问题居然能推到别人身上！帮你还帮出问题了,4,1
4801611157736041,4801613426855407,摔碎的茅台,2022-08-12 11:59:32,浙江,这样欺负老领导，我都很气愤，懂王，拉上几个州，自己干吧！太憋屈了,21,124
4801611157736041,4801612280763127,一笺浅墨深,2022-08-12 11:59:32,云南,阉党（LGBT…）+锦衣卫（FBI），好家伙，美国已经度过大清，进入到大明了,2157,92
4801611157736041,4801611764860940,银针落地,2022-08-12 11:59:32,北京,我咋对人家破事没兴趣呢？,206,0
4801611157736041,4801613724650523,郁闷的推土机,2022-08-12 11:59:32,江苏,小王 锒铛入狱 不是铃铛入狱,46,18
4801611157736041,4801630739891645,诗姐八美国政治,2022-08-12 11:59:32,美国,1）川普一直主动跟FBI合作，已经把15箱文件交回，还在家接见到访的FBI。如果真藏有与核武器有关文件，FBI和DOJ完全可以跟川普要，不必突袭抄家。 2）1/6委员会找不到起诉川普证据，这次想出与核武器有关的文件抄家比希拉里想出用川普黄金浴故事诬陷他通俄更凶恶。从抄走物件中可以泄密给左媒抹黑川普。,53.5万,6
4801611157736041,4801617478025635,金三舜,2022-08-12 11:59:32,广东,案件打成按键，这还能忍；锒铛入狱说成铃铛入狱，就不在正常的接受范围内了。,2152,13
4801611157736041,4801615562017896,爱汝每一天,2022-08-12 11:59:32,安徽,最后出路在于揭竿而起,41,5
4801611157736041,4801611405459567,微博时事,2022-08-12 11:59:32,北京,@王冰汝：FBI突袭海湖庄园！对特朗普意味着什么？,209.4万,0
4801611157736041,4801611480963935,mnzcy,2022-08-12 11:59:32,广西,川川藏匿大规模杀伤性武器,414,8
4801611157736041,4801616223409550,雷蒙德Ray,2022-08-12 11:59:32,广东,锒铛入狱？,416,6
4801611157736041,4801613552683156,半身遂半身不遂,2022-08-12 11:59:32,北京,为什么是铃铛入狱？？不是锒铛入狱么？？,550,7
4801611157736041,4801621780859836,威廉2020它走了,2022-08-12 11:59:32,湖北,然后，佩洛西老公的事没人关心啦,212,6
4801611157736041,4801615456112669,爱汝每一天,2022-08-12 11:59:32,安徽,trump危险了,41,2
4801611157736041,4801624051292214,干椒薄荷叶,2022-08-12 11:59:32,湖北,内斗和党争好严重啊,152,2
4801611157736041,4801618811291640,青铜无忌,2022-08-12 11:59:32,江苏,川宝虽然缺乏战略纵深，但是他是一个有血有肉真实的人。,512,2
4801611157736041,4801614030048437,没溜的反函数,2022-08-12 11:59:32,北京,锒铛入狱,5.3万,2
4801611157736041,4801613942491943,打油诗bot,2022-08-12 11:59:32,江苏,锒铛lang dang……字幕里应该是案件，不是按键,28,2
4801611157736041,4801623572088399,勤深易浓,2022-08-12 11:59:32,江西,铃铛入狱,917,1
4801611157736041,4801612705173433,启迪91029,2022-08-12 11:59:32,辽宁,今天晚上B站连线直播我会准时收看,184,1
4801611157736041,4801669936711730,铭ing86,2022-08-12 11:59:32,四川,只有懂王在线，冰汝的新闻才更新得快！,7,1
4801704170624714,4801706347726582,我不想反思了,2022-08-12 18:09:08,河北,从开始到现在，🇨🇳从来没有抵制全球化合作，不管是外宣还是行动，包括一带一路。,26,7
4801704170624714,4801708268458987,我不想反思了,2022-08-12 18:09:08,河北,🇺🇸从开始犯了个根本性错误，放弃中低端产业，只搞金融和高技术，搞来搞去，财阀发财，普通人受损，现在又想往回拉，覆水难收。能卡🇨🇳脖子的也只有这两方面了，只要再有点时间，把这两个领域攻破，他们也只能拿原子弹吓唬人了。,26,0
4801700500079543,4801703918961800,中国国产,2022-08-12 17:54:33,广东,我默默打上了，8个哈哈哈哈哈哈哈哈哈,133.5万,6
4801700500079543,4801705663791869,River江波,2022-08-12 17:54:33,河北,川建国：哈哈哈哈哈哈，打中文，看不起谁,1.6万,1
4801700500079543,4801704496731623,就是我楠,2022-08-12 17:54:33,广东,HAGA！,34,0
4801700500079543,4801702367073325,黑球球粉球球,2022-08-12 17:54:33,重庆,哈哈哈哈哈哈,139,0
4801700500079543,4801703926829544,dddduyuyulellele,2022-08-12 17:54:33,湖北,嘲讽拉满,15,0
4801700500079543,4801701573303872,我还是祥小牛,2022-08-12 17:54:33,河北,哈哈哈哈哈哈,2371,0
4801709208243989,4801710108971837,一家亲之地球人,2022-08-12 18:29:09,广东,若当年拉登有现代科技，还需要派飞机去撞吗？,5,2
4801709208243989,4801710062835800,天涯过客游子心,2022-08-12 18:29:09,江苏,我不信，能再表演一次吗,86,2
4801709208243989,4801711237501626,一人千面尽世愁,2022-08-12 18:29:09,重庆,我不信，我都没看见，这肯定是电影,22,0
4801709208243989,4801711024377282,喆正智能一3D打印,2022-08-12 18:29:09,四川,爽！,107,0
4801709208243989,4801712021575082,时光画外,2022-08-12 18:29:09,浙江,不错，啥时候再来几次吧！！霉国活该！！！,35,0
4801709208243989,4801711921958722,三千里风景,2022-08-12 18:29:09,重庆,没引爆黑蛋…不过瘾…,4,0
4801709208243989,4801711744745572,三千里风景,2022-08-12 18:29:09,重庆,发生频率太低了…,4,0
4801709208243989,4801711598472720,永和九年取舍万殊,2022-08-12 18:29:09,吉林,听说只有平民遇难当天重要人物都没有出现在楼里,180,0
4801709208243989,4801710796835286,wndaye,2022-08-12 18:29:09,重庆,这要参加射击比赛，都是10环,17,1
4801709208243989,4801710368752707,火星人笔记,2022-08-12 18:29:09,广东,不就是把强盗野人的房子撞了嘛，多大点事,3,1
4801709208243989,4801711610272732,余火燃烧,2022-08-12 18:29:09,四川,这是世界上最伟大的袭击，没有之一。,0,1
4801700500079543,4801703918961800,中国国产,2022-08-12 17:54:33,广东,我默默打上了，8个哈哈哈哈哈哈哈哈哈,133.5万,6
4801700500079543,4801705663791869,River江波,2022-08-12 17:54:33,河北,川建国：哈哈哈哈哈哈，打中文，看不起谁,1.6万,1
4801700500079543,4801704496731623,就是我楠,2022-08-12 17:54:33,广东,HAGA！,34,0
4801700500079543,4801702367073325,黑球球粉球球,2022-08-12 17:54:33,重庆,哈哈哈哈哈哈,139,0
4801700500079543,4801703926829544,dddduyuyulellele,2022-08-12 17:54:33,湖北,嘲讽拉满,15,0
4801700500079543,4801701573303872,我还是祥小牛,2022-08-12 17:54:33,河北,哈哈哈哈哈哈,2371,0
4801709208243989,4801710108971837,一家亲之地球人,2022-08-12 18:29:09,广东,若当年拉登有现代科技，还需要派飞机去撞吗？,5,2
4801709208243989,4801710062835800,天涯过客游子心,2022-08-12 18:29:09,江苏,我不信，能再表演一次吗,86,2
4801709208243989,4801711237501626,一人千面尽世愁,2022-08-12 18:29:09,重庆,我不信，我都没看见，这肯定是电影,22,0
4801709208243989,4801711024377282,喆正智能一3D打印,2022-08-12 18:29:09,四川,爽！,107,0
4801709208243989,4801712021575082,时光画外,2022-08-12 18:29:09,浙江,不错，啥时候再来几次吧！！霉国活该！！！,35,0
4801709208243989,4801711921958722,三千里风景,2022-08-12 18:29:09,重庆,没引爆黑蛋…不过瘾…,4,0
4801709208243989,4801711744745572,三千里风景,2022-08-12 18:29:09,重庆,发生频率太低了…,4,0
4801709208243989,4801711598472720,永和九年取舍万殊,2022-08-12 18:29:09,吉林,听说只有平民遇难当天重要人物都没有出现在楼里,180,0
4801709208243989,4801710796835286,wndaye,2022-08-12 18:29:09,重庆,这要参加射击比赛，都是10环,17,1
4801709208243989,4801710368752707,火星人笔记,2022-08-12 18:29:09,广东,不就是把强盗野人的房子撞了嘛，多大点事,3,1
4801709208243989,4801711610272732,余火燃烧,2022-08-12 18:29:09,四川,这是世界上最伟大的袭击，没有之一。,0,1
4801706673835254,4801708368333657,小缸盖,2022-08-12 18:19:05,四川,耗子还想喝猫奶,17,6
4801706673835254,4801708850416768,坚果中的世界,2022-08-12 18:19:05,广东,芬太尼泛滥影响美国大麻利益集团,12,3
4801706673835254,4801707936846853,釁膚,2022-08-12 18:19:05,重庆,和鸦片这个东西异曲同工啊,188,2
4801706673835254,4801708851732241,鱼儿游圈圈,2022-08-12 18:19:05,广东,生化危机街头版,318,1
4801706673835254,4801708188506553,根哥仔,2022-08-12 18:19:05,广西,只是怕你倾销做烂市,62,0
4801711821294316,4801711829419093,留学的柚子学姐,2022-08-12 18:39:32,四川,选择优于努力，选择自己能申请成功的学校专业，制定好申请方案，是整个留学申请的重点；如果同学有留学择校，规划，机构的疑问或者是困惑，可与学姐在线交流，直接点击右侧链接 网页链接,5.1万,0
