类别,类别名,页数,武器名,武器介绍,武器星级,攻击,会心,武器详情url,武器图片url
1,双枪,1,焢煌之境：劫炎永燎,"炎律唯二可以在空中使用的武器，提供：高额爆发、高连击数、高加成与火焰易伤效果。同时还能回复关键的能量值（SP）

相较圣痕，有无专属武器不但是伤害层面的差距，游戏体验也会有着很大差别（不能空中武器主动，爆发显著降低，SP循环稍难 ）",6,443,19,http://www.3rdguide.com/web/arm/detail?id=276,http://static.3rdguide.com/image/data/uploads/all/202107/19670b2b22c.png
1,双枪,1,阳电子手炮,月光完美的毕业武器，摆脱了开普勒（中）的束缚，仅需一把武器就可获得极高的麻痹覆盖率。主动直接接分支的设计，也使得角色无需攻速加成（对转圈影响很小）。除了输出向，也可利用其物理易伤来辅助队友，0SP主动的设定非常适合战场竞速。,6,418,27,http://www.3rdguide.com/web/arm/detail?id=227,http://static.3rdguide.com/image/data/uploads/all/201910/67204aab8dd.png
1,双枪,1,幽夜狂想曲,第六夜完美的毕业武器，加伤综合，且主动能够提供：高额倍率伤害、3次连续的分支、瞬时的聚怪效果，整体和第六夜的输出方式非常契合。可惜，除了第六夜，其它角色使用时效果一般，甚至会不如老的幽色咏叹调。,6,415,35,http://www.3rdguide.com/web/arm/detail?id=233,http://static.3rdguide.com/image/data/uploads/all/202001/11dd728dc63.png
1,双枪,1,空无之境：永劫,空之律者完美的毕业武器。破盾、加伤、倍率、面板、减伤，在各个方面都对女王进行了一波加强，整体提升显著。在面对克制类敌人时，超限空无的女王表现优秀。,6,393,43,http://www.3rdguide.com/web/arm/detail?id=244,http://static.3rdguide.com/image/data/uploads/all/202005/b0596d797b9.png
1,双枪,1,焢煌之钥,具体可参照超限武器，就高级区来说，幽色咏叹调的瞬间爆发并不比专属低。但炎律毕竟是打持续输出的角色，一旦进入长流程的持久战，专属的优势就会非常明显了。,5,299,13,http://www.3rdguide.com/web/arm/detail?id=277,http://static.3rdguide.com/image/data/uploads/all/202107/f9a8f2da3bd.png
1,双枪,1,索尔之锤,物理通用双枪，主要作用还是其主动80%的高额脆弱（可被时空延长持续时间），常常用于辅助物理主C。,5,298,6,http://www.3rdguide.com/web/arm/detail?id=2,http://static.3rdguide.com/image/data/uploads/all/201802/ac765b20170.png
1,双枪,1,伊甸双星,最主要的作用是全角色+10攻击力。本质是和索尔互补的脆弱双枪，脆弱的前提是：击破敌人护盾，或敌人本来就没护盾。SP消耗低，脆弱不受时空限制（索尔的脆弱可以时空扩），在记忆战场中的表现会优于索尔，如：空律山吹紫苑打地藏。,5,287,21,http://www.3rdguide.com/web/arm/detail?id=245,http://static.3rdguide.com/image/data/uploads/all/202005/d58016f4a5c.png
1,双枪,1,异型·赫尔之弓,依赖眩晕/冰冻控制，以获得高额加伤的物理双枪。虽然可搭配雪地大招，全场冰冻敌人，但常态加成低，且不如各自的专属武器以及幽色咏叹调强力。,5,287,31,http://www.3rdguide.com/web/arm/detail?id=166,http://static.3rdguide.com/image/data/uploads/all/201805/f14468fcf71.png
1,双枪,1,超电磁手炮,古老的月光毕业武器，已经基本没有实用价值。不过是超限电磁炮的前置要素（解锁图鉴），依旧可以成为新的毕业武器。,5,287,19,http://www.3rdguide.com/web/arm/detail?id=3,http://static.3rdguide.com/image/data/uploads/all/201802/2a9a8b1dc68.png
1,双枪,1,凡尘难渡,遂有此键,5,286,20,http://www.3rdguide.com/web/arm/detail?id=261,http://static.3rdguide.com/image/data/uploads/all/202102/29419fac135.png
1,双枪,2,连山守护,虽然天穹游侠在搭配彗星驱动时，可轻松触发武器的被动加成，但适用范围一般，不如幽色咏叹调广，因此不推荐升级，35即可。,5,285,22,http://www.3rdguide.com/web/arm/detail?id=6,http://static.3rdguide.com/image/data/uploads/all/201802/3b34871303d.png
1,双枪,2,往世的华章,老式燧发枪，明星的选择。,5,284,13,http://www.3rdguide.com/web/arm/detail?id=300,http://static.3rdguide.com/image/data/uploads/all/202204/582674421e4.png
1,双枪,2,原型·妖精之弓,真·快乐玩家，该武器主动没用CD限制，仅SP限制，SP充足时，可体验连射的快乐。,5,279,35,http://www.3rdguide.com/web/arm/detail?id=9,http://static.3rdguide.com/image/data/uploads/all/201802/6e6c41fa998.png
1,双枪,2,血手圣徒,原罪猎人标准的毕业武器，双被动的设计十分契合原罪驻场持续分支的输出模式。以前也用于辅助——利用轨道炮来快速破盾，但现在意义不大。,5,277,33,http://www.3rdguide.com/web/arm/detail?id=194,http://static.3rdguide.com/image/data/uploads/all/201809/698a1596afd.png
1,双枪,2,能量跃迁者,老的月光毕业武器，在超限电磁炮出现后，便辉煌不再。,5,276,32,http://www.3rdguide.com/web/arm/detail?id=7,http://static.3rdguide.com/image/data/uploads/all/201802/4ec121d7eb0.png
1,双枪,2,烈焰毁灭者,它有一个好听的称号“蛋池毁灭者”，不过目前来说，蛋池里已经基本见不到该武器了。（想抽都抽不到）,5,276,32,http://www.3rdguide.com/web/arm/detail?id=4,http://static.3rdguide.com/image/data/uploads/all/201802/e1070189cc4.png
1,双枪,2,天穹撕裂者,原本是设计给天穹游侠的专属武器，可现在却无人使用。给游侠打输出不如幽色咏叹调；给游侠打辅助不如索尔之锤的80%脆弱强力。其余角色也基本不会使用。,5,275,32,http://www.3rdguide.com/web/arm/detail?id=224,http://static.3rdguide.com/image/data/uploads/all/201909/01e97e03347.png
1,双枪,2,幽色咏叹调,强力且通用的爆发类双枪，不适合驻场持续输出。瞬间加成很高，且无招式类型限制。空之律者、天穹游侠在使用时都有不错的表现。,5,275,27,http://www.3rdguide.com/web/arm/detail?id=167,http://static.3rdguide.com/image/data/uploads/all/201805/9380f496cc1.png
1,双枪,2,簒夺者手炮,圣7308研究所根据崩坏粒子的量子纠缠原理制造的近距离攻击武器。同时反应中的崩坏粒子将振动产生波，对近距离的敌人造成伤害。,5,272,27,http://www.3rdguide.com/web/arm/detail?id=67,http://static.3rdguide.com/image/data/uploads/all/201802/91db75d4522.png
1,双枪,2,光与影,它有一个好听的称号“结与晶”，不过目前来说，蛋池里已经基本见不到该武器了。（想抽都抽不到）,5,270,39,http://www.3rdguide.com/web/arm/detail?id=5,http://static.3rdguide.com/image/data/uploads/all/201802/50a38bbc9bf.png
1,双枪,3,灵枪·八重,在很久之前，天命组织的某个人为了纪念一位巫女而制作的手枪，现在正静静的沉睡在天命组织总部的深处…,5,267,21,http://www.3rdguide.com/web/arm/detail?id=68,http://static.3rdguide.com/image/data/uploads/all/201802/f5657c41641.png
1,双枪,3,空无之钥,"空之律者标准的毕业武器，主动可打出高额伤害（生成空间核心）并回复动能，被动物伤与暴伤的加成使得该武器也可作为一个通用的物理双枪。
",5,264,37,http://www.3rdguide.com/web/arm/detail?id=177,http://static.3rdguide.com/image/data/uploads/all/201808/e5bdfcd0122.png
1,双枪,3,雷刀·鬼角,目前基本绑定圣女，常用于战场竞速，圣女开大以提供高额的雷电易伤效果，也可用于延迟牛顿（下）、叶采章套装。武器有着30%全伤加成，也可用于输出，但和各自的专属武器比起来，效果不算强力。,5,264,47,http://www.3rdguide.com/web/arm/detail?id=170,http://static.3rdguide.com/image/data/uploads/all/201807/2935c6ba98d.png
1,双枪,3,雷刀·鬼角（旧）,"主动对小范围持续雷伤，被动攻击附带雷伤，爆发造成感电。伤害与感电效果都顶尖。
在2.3版本已经被修改，此资料用于留念。",5,264,47,http://www.3rdguide.com/web/arm/detail?id=8,http://static.3rdguide.com/image/data/uploads/all/201803/e6b8396a012.png
1,双枪,3,天火圣裁,具备优秀辅助能力的地图神之键，可提供长时间的易伤效果，常用于记忆战场。,5,260,45,http://www.3rdguide.com/web/arm/detail?id=173,http://static.3rdguide.com/image/data/uploads/all/201808/683016dcc81.png
1,双枪,3,赤鸢之翼,若是用于辅助，来延迟牛顿（下）、叶采章套装等圣痕，仅需35；也可用于输出，但限定单个敌人，且强度就目前来说并不高，因此不是很推荐。,5,259,30,http://www.3rdguide.com/web/arm/detail?id=66,http://static.3rdguide.com/image/data/uploads/all/201802/2c888c9f000.png
1,双枪,3,2nd圣遗物,加伤能力一般，主要给圣女提供更快的SP回复效果，可用于战场竞速。不过战场中的提升有限，35级即可。,5,254,59,http://www.3rdguide.com/web/arm/detail?id=172,http://static.3rdguide.com/image/data/uploads/all/201808/fd8e6ee53af.png
1,双枪,3,2nd圣遗物（旧）,"被动提高攻击回复SP，被动击中附带雷伤。圣女极限续航用。
在2.3版本已经被加强，曾经的2ND已经被封存于历史中。",5,254,59,http://www.3rdguide.com/web/arm/detail?id=1,http://static.3rdguide.com/image/data/uploads/all/201802/49a2b5276c8.png
1,双枪,3,法尔尼夫爆炎,天命借助“魂钢”开发出的“诸神座”系列武器，通过崩坏能裂变反应产生强大的爆裂粒子，其威力犹如传说中巨龙的火焰。,5,248,43,http://www.3rdguide.com/web/arm/detail?id=65,http://static.3rdguide.com/image/data/uploads/all/201802/0b083587367.png
1,双枪,3,支配者手枪,天命组织用天父掉落的火属性崩坏能的未知矿石打造的武器，枪口聚集的崩坏粒子极度耐热，子弹在爆炸时附带额外的灼伤效果。,5,244,16,http://www.3rdguide.com/web/arm/detail?id=70,http://static.3rdguide.com/image/data/uploads/all/201802/052c90b65c6.png
1,双枪,4,游骑兵手炮,曾活跃于西伯利亚的女武神晨昏小队的装备，队员德瓦娜·卡斯兰娜的爱枪，她曾用这把武器取得过无数值得夸耀的战果。,5,240,15,http://www.3rdguide.com/web/arm/detail?id=184,http://static.3rdguide.com/image/data/uploads/all/201903/0092e3d8e03.png
1,双枪,4,星空音浪,崩坏世界的歌姬，琪亚娜爱用的扩音器，因为很喜欢所以会随身携带两个。据她的歌迷称，这对扩音器上印着让琪亚娜成为歌姬的契机。,5,234,8,http://www.3rdguide.com/web/arm/detail?id=199,http://static.3rdguide.com/image/data/uploads/all/201901/73acfc2637a.png
1,双枪,4,万圣颂灵枪,万圣节活动奖励武器,5,231,10,http://www.3rdguide.com/web/arm/detail?id=223,http://static.3rdguide.com/image/data/uploads/all/201909/e05dce61701.png
1,双枪,4,飓风左轮,天命组织用受第四律者影响的，携带冰属性崩坏能的金属打造的武器，枪口的崩坏磁场会让弹道强烈的旋转，形成飓风一样的杀伤效果。,5,224,39,http://www.3rdguide.com/web/arm/detail?id=69,http://static.3rdguide.com/image/data/uploads/all/201802/8ffa98645f7.png
1,双枪,4,火妖精Ⅰ型,圣7308研究所为女武神设计的手枪，内部安装了F-22崩坏能引擎，核心产生的激发态粒子会附着在目标身上，使目标持续的燃烧。,4,188,3,http://www.3rdguide.com/web/arm/detail?id=53,http://static.3rdguide.com/image/data/uploads/all/201802/6eaaa64a526.png
1,双枪,4,圣枪·卡莲,在很久之前，天命组织的某个人为了纪念一位女武神而制作的手枪，现在正静静的沉睡在天命组织总部的深处…,4,183,10,http://www.3rdguide.com/web/arm/detail?id=62,http://static.3rdguide.com/image/data/uploads/all/201802/0cc4c770929.png
1,双枪,4,火妖精Ⅱ型,圣7308研究所为女武神设计的手枪，内部安装了F-28崩坏能引擎，核心产生的激发态粒子会在击中目标时跃迁产生大量放射性热能。,4,182,12,http://www.3rdguide.com/web/arm/detail?id=54,http://static.3rdguide.com/image/data/uploads/all/201802/3ace8dfdc36.png
1,双枪,4,莫辛纳甘日轮,米高扬中央设计制造局制造的手枪，在标准的苏制手枪的基础上，加入了崩坏能结晶碎片，大幅强化了子弹的威力。,4,180,13,http://www.3rdguide.com/web/arm/detail?id=57,http://static.3rdguide.com/image/data/uploads/all/201802/1462fc6cf25.png
1,双枪,4,暗耀者手炮,圣7308研究所根据崩坏粒子的量子纠缠原理制造的近距离攻击增幅双持手枪。,4,179,16,http://www.3rdguide.com/web/arm/detail?id=60,http://static.3rdguide.com/image/data/uploads/all/201802/beb09d050a0.png
1,双枪,4,燃烧之羽,天命组织用仿造魂钢的金属制作的双枪，子弹上燃烧着强烈的火焰。作为试验品，其威力媲美“赤鸢之翼”，因此也被授予了“诸神座”的称号。,4,176,20,http://www.3rdguide.com/web/arm/detail?id=58,http://static.3rdguide.com/image/data/uploads/all/201802/95e2de527de.png
1,双枪,5,爱酱的针筒,明明叫针筒，却是一对双枪。针筒上好像写着什么非常不得了的东西。,4,173,7,http://www.3rdguide.com/web/arm/detail?id=192,http://static.3rdguide.com/image/data/uploads/all/201809/1f12a5ae94d.png
1,双枪,5,合金·支配者手枪,天命组织用自研的冰属性合金仿照支配者手枪所批量生产的枪械，其所拥有的崩坏威力无限接近支配者手枪。,4,169,10,http://www.3rdguide.com/web/arm/detail?id=64,http://static.3rdguide.com/image/data/uploads/all/201803/980f59fb70b.png
1,双枪,5,月神之守护,一把16年前天命组织制作的手枪，在枪身上，用细小的字刻着“愿月光守护着你，琪亚娜。爱你的齐格飞，塞西莉亚和德丽莎。”,4,169,29,http://www.3rdguide.com/web/arm/detail?id=56,http://static.3rdguide.com/image/data/uploads/all/201802/e42e14267be.png
1,双枪,5,水妖精Ⅱ型,圣7308研究所为女武神设计的手枪，内部安装了I-32崩坏能引擎，核心产生的凝聚粒子在击中目标的时候吸走目标身上的热量，冻结目标。,4,169,29,http://www.3rdguide.com/web/arm/detail?id=52,http://static.3rdguide.com/image/data/uploads/all/201802/7e04c3edaa4.png
1,双枪,5,轩辕·脉冲手枪,为了帮助被蚩尤吞入肚中的琪亚娜，姬麟的英灵通过轩辕剑的碎片，将力量附在了脉冲手枪上，使之获得了雷电的力量。,4,165,16,http://www.3rdguide.com/web/arm/detail?id=59,http://static.3rdguide.com/image/data/uploads/all/201802/a62d2d0a9c9.png
1,双枪,5,水妖精Ⅰ型,圣7308研究所为女武神设计的手枪，内部安装了I-30崩坏能引擎，核心产生的凝聚态粒子被用来强化子弹，产生远超一般子弹的威力。,4,163,38,http://www.3rdguide.com/web/arm/detail?id=51,http://static.3rdguide.com/image/data/uploads/all/201802/a0b0649caac.png
1,双枪,5,合金·飓风左轮,天命组织用自研的冰属性合金仿照飓风左轮所批量生产的枪械，其所拥有的崩坏威力无限接近飓风左轮。,4,158,24,http://www.3rdguide.com/web/arm/detail?id=63,http://static.3rdguide.com/image/data/uploads/all/201803/d5b8f3e9962.png
1,双枪,5,凤枪,2017年限定武器。“凤凰”双子武器中的一把。那么，和它搭配的“凰”，只会是她的武器吧？,4,158,25,http://www.3rdguide.com/web/arm/detail?id=61,http://static.3rdguide.com/image/data/uploads/all/201802/97743724fd3.png
1,双枪,5,试做型脉冲手枪,以USP系列为蓝本制作，鲜为人知的崩坏武器原型之一，可以陪伴主人共同成长，已知的最高记录是进化到稀有度4星。,4,146,29,http://www.3rdguide.com/web/arm/detail?id=55,http://static.3rdguide.com/image/data/uploads/all/201803/f536fb56874.png
1,双枪,5,柯尔特·捍卫者,由柯尔特公司设计并生产的双动式转轮手枪，可使用44 Special，44 Magnum以及45柯尔特子弹。,3,144,25,http://www.3rdguide.com/web/arm/detail?id=49,http://static.3rdguide.com/image/data/uploads/all/201803/2e105112c05.png
1,双枪,6,柯尔特巨蟒·改,柯尔特公司设计并生产的一款大框架，双动转轮手枪，经过改换枪管之后，成为柯尔特公司.44口径转轮枪中最准确的型号。,3,128,2,http://www.3rdguide.com/web/arm/detail?id=50,http://static.3rdguide.com/image/data/uploads/all/201803/9a2fe07ab65.png
1,双枪,6,沙漠之鹰,由IMI公司生产，有357 Magnum、44 Magnum和50 AE三种口径，可通过搭配枪管、枪机和弹匣迅速改装。,3,128,2,http://www.3rdguide.com/web/arm/detail?id=48,http://static.3rdguide.com/image/data/uploads/all/201803/50c7f394d30.png
1,双枪,6,USP改,H&K公司应美国特种部队要求，为应对大规模公共威胁事件，在USP45上改进的威力增强版本。,3,121,14,http://www.3rdguide.com/web/arm/detail?id=46,http://static.3rdguide.com/image/data/uploads/all/201808/b1990b9d866.png
1,双枪,6,M1911,美军在波斯湾战争时标准制式作战武器，装配7发柯尔特手枪弹匣，有效射程50m。,3,94,59,http://www.3rdguide.com/web/arm/detail?id=47,http://static.3rdguide.com/image/data/uploads/all/201808/8c2b28fbd8d.png
1,双枪,6,USP45,"H&K公司专门为美国军事和执法部门设计的手枪，45ACP口径，精度可靠，性能稳定。
",2,76,8,http://www.3rdguide.com/web/arm/detail?id=45,http://static.3rdguide.com/image/data/uploads/all/201803/06c5fd6f691.png
2,太刀,1,涤罪七雷·鸣雷见,以前文明纪元第三律者·雷之律者的核心制成的神之键。,6,452,11,http://www.3rdguide.com/web/arm/detail?id=306,http://static.3rdguide.com/image/data/uploads/all/202206/cd3634d1f36.png
2,太刀,1,天殛之境：裁决,雷之律者完美的毕业武器。目前面板最高的太刀，极高的雷电元素加成可以补足雷律自身低元素加伤的缺点。主动能够造成极高的雷伤，并瞬间回复200点律者能量，显著加快充能、循环速度。夜隐重霞携带时，也有着非常不错的效果，一般来说，伤害会略高于【重磁暴·斩】（因为角色倍率低）。不过麻痹覆盖率要低于【重磁暴·斩】,6,447,12,http://www.3rdguide.com/web/arm/detail?id=246,http://static.3rdguide.com/image/data/uploads/all/202007/78640946b96.png
2,太刀,1,重磁暴·斩,鬼铠完美的毕业武器，优先度极高的超限武器。作为感电女王，鬼铠一直是雷伤队的核心角色，武器主动可稳定上感电，并且还附带额外雷电易伤。抛开辅助，该武器也赋予了鬼铠一定的输出能力。（打辅助只是因为迅雷、月轮太强了）,6,431,20,http://www.3rdguide.com/web/arm/detail?id=221,http://static.3rdguide.com/image/data/uploads/all/201908/1b2692a316f.png
2,太刀,1,御灵刀 寒狱冰天,勿忘完美的毕业武器，提供动能，加伤综合且主动的瞬间爆发强力。鬼铠也可使用（主动减速触发被动加伤），但不如重磁暴强力。,6,409,35,http://www.3rdguide.com/web/arm/detail?id=220,http://static.3rdguide.com/image/data/uploads/all/201908/6f4bf635cd6.png
2,太刀,1,魂妖刀 血樱寂灭,真炎幸魂完美的毕业武器，除了拿来输出，其火伤辅助能力也十分优秀，能够提供长时间的高额火易伤，并通过主动二段施加强力点燃效果（可积蓄一半月魂、渡鸦的点燃槽）。特别的，其“全伤提高”的被动并不能作用于必杀技，而是在穿梭收招完后，提供全伤加成。,6,393,43,http://www.3rdguide.com/web/arm/detail?id=232,http://static.3rdguide.com/image/data/uploads/all/202001/8c4be456d22.png
2,太刀,1,天殛之钥,雷之律者的标准毕业武器。固定35%雷电元素加成，主动能造成可观伤害并施加鸣神，同时回复关键的律者能量，加快充能、循环速度。对于夜影重霞来说，会比【磁暴·斩】更强，更好用（同样非超限武器）。,5,302,8,http://www.3rdguide.com/web/arm/detail?id=247,http://static.3rdguide.com/image/data/uploads/all/202007/997e4f52f17.png
2,太刀,1,磁暴·斩,古老的鬼铠毕业武器，攻击自带特效，可惜已经基本没有实战价值。不过是超限磁暴斩的前置要素（解锁图鉴），并且强力推荐超限为重磁暴，使用频率极高。,5,298,6,http://www.3rdguide.com/web/arm/detail?id=12,http://static.3rdguide.com/image/data/uploads/all/201801/d73fbdc2965.png
2,太刀,1,影鵺,较为通用的物理太刀（不过现在输出高的都是元素太刀角色），兼顾输出与辅助，非常契合影舞冲击。增幅影舞在装备时，可依靠必杀技直接触发武器的“团队加伤效果”（文案中为刷新，实际上也可以直接触发），结合影舞自身的辅助效果，有着不错的物理辅助能力。,5,291,19,http://www.3rdguide.com/web/arm/detail?id=249,http://static.3rdguide.com/image/data/uploads/all/202008/034563e9977.png
2,太刀,1,灵刀·樱吹雪,逆神巫女标准的毕业武器，可快速叠加印记从而打出更多的刃返，影舞冲击也可使用，刀波能够提供一定伤害，并增加整体破盾能力。,5,289,29,http://www.3rdguide.com/web/arm/detail?id=182,http://static.3rdguide.com/image/data/uploads/all/201808/99ab51b25b2.png
2,太刀,1,开天剑,天命组织利用在“九幽”中的一块石碑上记载的铸剑术制成的剑，其威力之强，足以列入“诸神座”，可惜其他石碑上的文字已经无法辨识。,5,289,17,http://www.3rdguide.com/web/arm/detail?id=174,http://static.3rdguide.com/image/data/uploads/all/201808/084ab7342e5.png
2,太刀,2,地藏御魂,由旧文明第十二律者核心制成的神之键，主掌“侵蚀”的力量，可以投影使用者的意识并自如操纵。其使用方式尚未解析完整…,5,289,24,http://www.3rdguide.com/web/arm/detail?id=93,http://static.3rdguide.com/image/data/uploads/all/201802/cacf6282750.png
2,太刀,2,灵刀·樱吹雪（旧）,"主动冲刺造成物伤并眩晕绯樱标记敌人，巫女装备额外计数一次，被动攻击间隔释放刀波，巫女佩戴时进行一次计数。被3rd虚无妖精剑影响地位的巫女专属
",5,288,18,http://www.3rdguide.com/web/arm/detail?id=19,http://static.3rdguide.com/image/data/uploads/all/201801/e9defe2655c.png
2,太刀,2,妖刀·赤染樱,真炎幸魂标准的毕业武器，加伤稳定，武器主动可刷新分支的易伤时间（分支自身无法刷新），提高易伤覆盖率。超限武器相较其提升明显，强度有保证。,5,287,31,http://www.3rdguide.com/web/arm/detail?id=165,http://static.3rdguide.com/image/data/uploads/all/201805/0cab7bc705a.png
2,太刀,2,雨后誓言,由于减速圣痕的出现，主动的减速效果已经意义不大。通常由影舞冲击携带，在联机中，武器主动可频繁触发影舞联机技雷伤。整体加伤能力一般，属于情怀类武器。,5,287,29,http://www.3rdguide.com/web/arm/detail?id=21,http://static.3rdguide.com/image/data/uploads/all/201802/f0cb405fa86.png
2,太刀,2,藏锋,依靠极限闪避附加雷伤、物伤的操作型武器，对操作技巧和环境要求都很高，且主要适配角色，如：鬼铠，已经拥有重磁暴了，因此该武器基本没有使用的场合。,5,287,27,http://www.3rdguide.com/web/arm/detail?id=17,http://static.3rdguide.com/image/data/uploads/all/201801/ec2a6f37b9d.png
2,太刀,2,涤罪七雷·鸣,以前文明纪元第三律者·雷之律者的核心制成的神之键。,5,284,22,http://www.3rdguide.com/web/arm/detail?id=305,http://static.3rdguide.com/image/data/uploads/all/202206/16661cd3488.png
2,太刀,2,反力场打刀11式,主动拥有一个瞬间聚怪的效果，同时也有较高的连段伤害（不过不如雨伞），可能会有奇效，除此之外就没啥特点了。,5,282,26,http://www.3rdguide.com/web/arm/detail?id=13,http://static.3rdguide.com/image/data/uploads/all/201801/4858d1522b3.png
2,太刀,2,辉刀·经津主,具备3种元素攻击的一把特效太刀，伤害加成浮动较大，不够稳定。,5,279,5,http://www.3rdguide.com/web/arm/detail?id=202,http://static.3rdguide.com/image/data/uploads/all/201901/10862bc3793.png
